classification,orientation,distance,time
same,0,0,0.00017 
same,0,0,0.00016 
same,0.50449,0.024,0.01312 
same,0.15123,0.033,0.00732 
same,0,0.001,0.00017 
same,0,0.001,0.00017 
same,0.14069,0,0.00016 
same,0,0.001,0.00017 
same,0.30047,0.027,0.02146 
same,0.19348,0.088,0.01107 
same,0,0,0.00016 
same,0.1681,0,0.00043 
same,0,0.001,0.00016 
same,0.82699,0.616,0.02412 
same,0.15508,0.001,0.00103 
same,0,0.002,0.00058 
same,0,0.004,0.00052 
same,0,0.002,0.00016 
same,0,0.004,0.00035 
same,0,0.002,0.00016 
same,0,0.003,0.00017 
same,0,0.003,0.00017 
same,0,0.003,0.00016 
same,0,0.006,0.00036 
same,0,0.003,0.00016 
same,0.14017,0.003,0.00017 
same,0,0.003,0.00016 
same,0,0.003,0.00016 
same,0,0.003,0.00017 
same,0,0.006,0.00035 
same,0,0.003,0.00016 
same,0,0.007,0.00035 
same,0,0.007,0.00036 
same,0,0.004,0.00014 
same,0,0.009,0.00035 
same,0,0.01,0.00034 
same,0,0.01,0.00036 
same,0,0.006,0.00015 
same,0,0.006,0.00017 
same,0,0.014,0.00054 
same,0,0.004,0.00015 
same,0,0.004,0.00016 
same,0,0.006,0.00033 
same,0,0.002,0.00017 
same,0,0.002,0.00017 
same,0,0.001,0.00016 
same,0,0.002,0.00035 
same,0,0.001,0.00037 
same,0,0.001,0.00014 
same,0,0.003,0.00035 
same,0,0.002,0.00016 
same,0,0.002,0.00017 
same,0,0.002,0.00017 
same,0,0.002,0.00016 
same,0,0.003,0.00017 
same,0,0.006,0.00035 
same,0,0.003,0.00016 
same,0,0.007,0.00037 
same,0,0.004,0.00015 
same,0,0.004,0.00017 
same,0,0.005,0.00016 
same,0,0.005,0.00016 
same,0,0.005,0.00017 
same,0,0.006,0.00017 
same,0,0.006,0.00016 
same,0,0.006,0.00017 
same,0,0.01,0.00034 
same,0,0.008,0.00037 
same,0.17763,0.103,0.00526 
same,0,0.001,0.00017 
same,0,0.001,0.00017 
same,0,0.001,0.00016 
same,0,0.002,0.00016 
same,0,0.005,0.00036 
same,0,0.003,0.00016 
same,0,0.004,0.00017 
same,0.14795,0.004,0.00016 
same,0,0.008,0.00036 
same,0,0.004,0.00015 
same,0,0.004,0.00017 
same,0,0.004,0.00016 
same,0,0.004,0.00017 
same,0,0.004,0.00016 
same,0,0.004,0.00017 
same,0,0.004,0.00017 
same,0,0.004,0.00016 
same,0,0.004,0.00017 
same,0,0.004,0.00016 
same,0,0.007,0.00037 
same,0,0.004,0.00014 
same,0,0.007,0.00035 
same,0,0.003,0.00016 
same,0,0.009,0.00051 
same,0,0.002,0.00017 
same,0,0.002,0.00017 
same,0,0.003,0.00036 
same,0,0,0.00015 
same,0.07349,0.112,0.00537 
same,0,0,0.00053 
same,0,0.001,0.00057 
same,0,0.001,0.00017 
same,0,0.001,0.00017 
same,0,0.001,0.00016 
same,0,0.002,0.00017 
same,0,0.004,0.00036 
same,0,0.003,0.00015 
same,0,0.006,0.00035 
same,0.14198,0.003,0.00016 
same,0,0.003,0.00016 
same,0,0.008,0.00035 
same,0,0.004,0.00016 
same,0,0.004,0.00017 
same,0,0.009,0.00036 
same,0,0.004,0.00015 
same,0,0.005,0.00017 
same,0,0.005,0.00016 
same,0,0.005,0.00017 
same,0,0.005,0.00016 
same,0,0.009,0.00035 
same,0,0.004,0.00016 
same,0,0.008,0.00035 
same,0,0.004,0.00016 
same,0,0.006,0.00037 
same,0,0.002,0.00015 
same,0,0.002,0.00017 
same,0,0.001,0.00017 
same,0,0.001,0.00016 
same,0,0,0.00016 
same,0.00097,0.105,0.00572 
same,0,0.002,0.00094 
same,0,0.001,0.00016 
same,0,0.002,0.00035 
same,0,0.001,0.00016 
same,0,0.003,0.00035 
same,0,0.002,0.00017 
same,0,0.003,0.00038 
same,0,0.002,0.00013 
same,0,0.002,0.00017 
same,0,0.002,0.00016 
same,0,0.002,0.00017 
same,0,0.006,0.00035 
same,0,0.003,0.00016 
same,0,0.003,0.00016 
same,0.16729,0.007,0.00034 
same,0,0.009,0.00036 
same,0,0.005,0.00016 
same,0,0.005,0.00017 
same,0,0.005,0.00016 
same,0.16687,0.006,0.00016 
same,0,0.011,0.00035 
same,0,0.006,0.00016 
same,0,0.006,0.00017 
same,0,0.005,0.00017 
same,0,0.013,0.00052 
same,0,0.003,0.00015 
same,0.14854,0.006,0.00035 
same,0,0.002,0.00016 
same,0,0.001,0.00017 
same,0,0.001,0.00017 
same,0.15997,0.001,0.00016 
same,0.1317,0.083,0.00521 
same,0.15732,0.008,0.00197 
same,0,0.001,0.00016 
same,0,0.002,0.00034 
same,0.14691,0.002,0.00035 
same,0,0.001,0.00017 
same,0,0.002,0.00034 
same,0,0,0.00016 
same,0,0.001,0.00017 
same,0,0.008,0.00085 
same,0,0.003,0.00017 
same,0,0.007,0.00036 
same,0,0.003,0.00016 
same,0,0.006,0.00036 
same,0,0.002,0.00015 
same,0.15095,0.001,0.00016 
same,0,0.002,0.00017 
same,0,0.001,0.00016 
same,0,0.001,0.00016 
same,0,0.002,0.00017 
same,0,0.002,0.00016 
same,0.04453,0.024,0.00878 
different,0.92186,0.618,0.13916 
different,0.92186,0.618,0.13933 
same,0,0.001,0.00017 
different,0.94346,0.536,0.16896 
same,0.0216,0.093,0.02963 
different,0.94346,0.537,0.16913 
same,0,0.001,0.00016 
different,0.12547,0.537,0.16947 
same,0.18201,0.002,0.00035 
different,0.04075,0.096,0.18107 
same,0.08472,0.588,0.01160 
different,0.04075,0.097,0.18123 
same,0,0.001,0.00015 
different,0.04075,0.097,0.18140 
same,0,0.001,0.00017 
different,0.04075,0.097,0.18156 
same,0,0.001,0.00016 
different,0.04075,0.098,0.18174 
same,0,0.002,0.00017 
different,0.21535,0.098,0.18190 
same,0.1746,0.001,0.00016 
different,0.21535,0.098,0.18207 
same,0,0.001,0.00017 
different,0.21535,0.097,0.18225 
same,0,0.001,0.00017 
different,0.21535,0.098,0.18241 
same,0,0.001,0.00016 
different,0.21535,0.099,0.18276 
same,0,0.003,0.00035 
different,0.21535,0.1,0.18311 
same,0,0.003,0.00035 
different,0.21535,0.1,0.18327 
same,0,0.001,0.00016 
different,0.21535,0.101,0.18344 
same,0,0.002,0.00017 
different,0.21535,0.101,0.18361 
same,0,0.002,0.00016 
different,0.21535,0.102,0.18378 
same,0,0.002,0.00017 
different,0.21535,0.102,0.18395 
same,0,0.003,0.00017 
different,0.21535,0.103,0.18413 
same,0,0.003,0.00017 
different,0.21535,0.103,0.18429 
same,0,0.003,0.00016 
different,0.21535,0.104,0.18446 
same,0,0.004,0.00017 
different,0.21535,0.107,0.18497 
same,0,0.012,0.00051 
different,0.21535,0.108,0.18514 
same,0,0.005,0.00016 
different,0.21535,0.11,0.18548 
same,0,0.01,0.00035 
different,0.21535,0.112,0.18566 
same,0,0.005,0.00017 
different,0.21535,0.113,0.18582 
same,0,0.005,0.00016 
different,0.21535,0.114,0.18600 
same,0,0.005,0.00017 
different,0.21535,0.116,0.18617 
same,0,0.005,0.00017 
different,0.21535,0.117,0.18633 
same,0,0.006,0.00016 
different,0.21535,0.119,0.18651 
same,0,0.006,0.00017 
different,0.21535,0.121,0.18668 
same,0,0.005,0.00017 
different,0.21535,0.123,0.18684 
same,0,0.005,0.00016 
different,0.21535,0.127,0.18719 
same,0,0.01,0.00035 
different,0.21535,0.129,0.18735 
same,0,0.004,0.00016 
different,0.21535,0.133,0.18769 
same,0,0.007,0.00034 
different,0.21535,0.135,0.18804 
same,0,0.005,0.00035 
different,0.21535,0.137,0.18837 
same,0,0.002,0.00034 
different,0.93512,0.121,0.19349 
same,0.28023,0.132,0.00512 
different,0.93512,0.121,0.19365 
same,0,0.001,0.00016 
different,0.93512,0.121,0.19400 
same,0,0.001,0.00035 
different,0.08411,0.121,0.19434 
same,0.14899,0.001,0.00034 
different,0.08411,0.121,0.19544 
same,0,0.002,0.00110 
different,0.08411,0.121,0.19561 
same,0,0.001,0.00017 
different,0.08411,0.12,0.19595 
same,0,0.001,0.00034 
different,0.08411,0.119,0.19611 
same,0,0.001,0.00016 
different,0.08411,0.118,0.19664 
same,0,0.002,0.00053 
different,0.08411,0.116,0.19680 
same,0,0.001,0.00015 
different,0.08411,0.116,0.19734 
same,0,0.001,0.00054 
different,0.08411,0.115,0.19749 
same,0,0.001,0.00015 
different,0.08411,0.115,0.19767 
same,0,0,0.00017 
different,0.08411,0.115,0.19783 
same,0,0.001,0.00016 
different,0.08411,0.114,0.19817 
same,0,0.001,0.00034 
different,0.08411,0.114,0.19833 
same,0,0,0.00016 
different,0.92767,0.113,0.19886 
same,0.15644,0.004,0.00053 
different,0.92767,0.112,0.19901 
same,0,0.002,0.00015 
different,0.92767,0.11,0.19935 
same,0,0.004,0.00034 
different,0.92767,0.109,0.19952 
same,0,0.002,0.00017 
different,0.92767,0.108,0.19970 
same,0,0.002,0.00017 
different,0.92767,0.107,0.19987 
same,0,0.002,0.00017 
different,0.92767,0.105,0.20003 
same,0,0.002,0.00016 
different,0.92767,0.104,0.20021 
same,0,0.002,0.00017 
different,0.92767,0.103,0.20037 
same,0,0.002,0.00016 
different,0.92767,0.1,0.20074 
same,0,0.004,0.00037 
