classification,orientation,distance,time
same,0,0.009,0.01504 
same,0,0.003,0.00232 
same,0,0.003,0.00232 
same,0.01047,0.121,0.03212 
same,0,0.01,0.00205 
same,0,0.01,0.00328 
same,0,0.01,0.00205 
same,0,0.01,0.00205 
same,0,0.011,0.00150 
same,0,0,0.00041 
same,0,0.011,0.00191 
same,0.17823,0.012,0.00232 
same,0,0.011,0.00355 
same,0,0.011,0.00068 
same,0,0,0.00027 
same,0,0.012,0.00246 
same,0,0.012,0.00219 
same,0,0.012,0.00232 
same,0,0.011,0.00219 
same,0,0.011,0.00342 
same,0,0.012,0.00205 
same,0.13966,0.012,0.00205 
same,0,0.012,0.00191 
same,0,0.011,0.00191 
same,0,0.011,0.00246 
same,0,0.01,0.00328 
same,0,0.01,0.00219 
same,0,0.01,0.00205 
same,0,0.01,0.00150 
same,0,0,0.00027 
same,0,0.009,0.00205 
same,0,0.008,0.00219 
same,0,0.008,0.00355 
same,0,0.015,0.00506 
same,0,0,0.00027 
same,0,0.007,0.00041 
same,0,0,0.00027 
same,0,0.006,0.00191 
same,0,0.006,0.00232 
same,0,0.005,0.00342 
same,0,0.006,0.00273 
same,0,0.006,0.00137 
same,0,0,0.00014 
same,0,0.005,0.00150 
same,0,0,0.00027 
same,0,0.005,0.00205 
same,0.15886,0.004,0.00219 
same,0,0.004,0.00342 
same,0,0.004,0.00219 
same,0,0.003,0.00150 
same,0,0,0.00027 
same,0.15649,0.003,0.00164 
same,0,0,0.00041 
same,0,0.002,0.00191 
same,0,0.002,0.00246 
different,0.1206,0.577,0.10853 
different,0.1206,0.577,0.11044 
same,0,0.001,0.00191 
different,0.1206,0.576,0.11304 
same,0,0.002,0.00260 
different,0.1206,0.576,0.11509 
same,0,0.002,0.00205 
different,0.1206,0.575,0.11741 
same,0,0.002,0.00232 
different,0.1206,0.574,0.11974 
same,0,0.002,0.00232 
different,0.1206,0.573,0.12329 
same,0,0.002,0.00355 
different,0.1206,0.571,0.12397 
same,0,0.003,0.00068 
different,0.1206,0.571,0.12425 
same,0,0,0.00027 
different,0.1206,0.57,0.12657 
same,0,0.004,0.00232 
different,0.1206,0.568,0.12876 
same,0,0.004,0.00219 
different,0.1206,0.567,0.13122 
same,0,0.005,0.00246 
different,0.1206,0.565,0.13354 
same,0,0.005,0.00232 
different,0.1206,0.563,0.13696 
same,0,0.005,0.00342 
different,0.1206,0.562,0.13764 
same,0,0.004,0.00068 
different,0.1206,0.562,0.13792 
same,0,0,0.00027 
different,0.1206,0.56,0.14038 
same,0,0.004,0.00246 
different,0.28208,0.559,0.14270 
same,0.16148,0.005,0.00232 
different,0.28208,0.557,0.14598 
same,0,0.005,0.00328 
different,0.28208,0.554,0.14680 
same,0,0.005,0.00082 
different,0.28208,0.554,0.14694 
same,0,0,0.00014 
different,0.28208,0.554,0.14721 
same,0,0,0.00027 
different,0.1411,0.552,0.14913 
same,0.14098,0.004,0.00191 
different,0.1411,0.552,0.14926 
same,0,0,0.00014 
different,0.1411,0.552,0.14981 
same,0,0,0.00055 
different,0.1411,0.552,0.15008 
same,0,0,0.00027 
different,0.1411,0.552,0.15036 
same,0,0,0.00027 
different,0.1411,0.55,0.15159 
same,0,0.005,0.00123 
different,0.1411,0.55,0.15186 
same,0,0,0.00027 
different,0.1411,0.55,0.15213 
same,0,0,0.00027 
different,0.1411,0.55,0.15241 
same,0,0,0.00027 
different,0.1411,0.55,0.15268 
same,0,0,0.00027 
different,0.1411,0.547,0.15610 
same,0,0.005,0.00342 
different,0.1411,0.547,0.15651 
same,0,0,0.00041 
different,0.1411,0.547,0.15746 
same,0,0,0.00096 
different,0.1411,0.547,0.15774 
same,0,0,0.00027 
different,0.1411,0.544,0.15828 
same,0,0.005,0.00055 
different,0.1411,0.544,0.15869 
same,0,0,0.00041 
different,0.1411,0.544,0.15897 
same,0,0,0.00027 
different,0.1411,0.54,0.15924 
same,0,0.005,0.00027 
different,0.1411,0.54,0.15965 
same,0,0,0.00041 
different,0.1411,0.536,0.16074 
same,0,0.006,0.00109 
different,0.1411,0.536,0.16102 
same,0,0,0.00027 
different,0.1411,0.532,0.16416 
same,0,0.006,0.00314 
different,0.1411,0.527,0.16498 
same,0,0.006,0.00082 
different,0.1411,0.527,0.16525 
same,0,0,0.00027 
different,0.1411,0.523,0.16840 
same,0,0.007,0.00314 
different,0.1411,0.517,0.16949 
same,0,0.007,0.00109 
different,0.1411,0.517,0.16976 
same,0,0,0.00027 
different,0.1411,0.512,0.17209 
same,0,0.008,0.00232 
different,0.1411,0.506,0.17441 
same,0,0.007,0.00232 
different,0.1411,0.501,0.17865 
same,0,0.007,0.00424 
different,0.1411,0.496,0.17892 
same,0,0.007,0.00027 
different,0.1411,0.496,0.17933 
same,0,0,0.00041 
different,0.1411,0.49,0.18097 
same,0,0.007,0.00164 
different,0.1411,0.49,0.18125 
same,0,0,0.00027 
different,0.1411,0.485,0.18357 
same,0,0.007,0.00232 
different,0.95364,0.48,0.18576 
same,0.18746,0.007,0.00219 
different,0.95364,0.475,0.18890 
same,0,0.007,0.00314 
different,0.95364,0.471,0.19040 
same,0,0.006,0.00150 
different,0.95364,0.467,0.19273 
same,0,0.005,0.00232 
different,0.95364,0.467,0.19328 
same,0,0,0.00055 
different,0.95364,0.464,0.19574 
same,0,0.006,0.00246 
different,0.95364,0.461,0.19833 
same,0,0.006,0.00260 
different,0.95364,0.458,0.19970 
same,0,0.006,0.00137 
different,0.95364,0.458,0.20052 
same,0,0,0.00082 
different,0.95364,0.456,0.20202 
same,0,0.005,0.00150 
different,0.95364,0.456,0.20284 
same,0,0,0.00082 
different,0.95364,0.454,0.20407 
same,0,0.006,0.00123 
different,0.95364,0.453,0.20640 
same,0,0.006,0.00232 
different,0.95364,0.453,0.20694 
same,0,0,0.00055 
different,0.79056,0.451,0.21364 
