classification,orientation,distance,time
same,0,0.001,0.00020 
same,0,0.001,0.00006 
same,0,0.001,0.00006 
same,0,0.001,0.00006 
same,0,0.002,0.00009 
same,0,0,0.00006 
same,0.35837,0.275,0.01493 
same,0,0,0.00149 
same,0,0,0.00049 
same,0.96585,0.449,0.00997 
same,0,0.001,0.00049 
same,0,0,0.00049 
same,0,0.002,0.00046 
same,0.11117,0.064,0.00671 
same,0,0,0.00049 
same,0,0.006,0.00046 
same,0,0.005,0.00049 
same,0.02642,0.342,0.00909 
same,0,0,0.00049 
same,0,0.005,0.00046 
same,0.1549,0.157,0.00671 
same,0,0,0.00049 
same,0,0.006,0.00046 
same,0,0,0.00049 
same,0.94303,0.052,0.02964 
same,0.27723,0.001,0.00095 
same,0.152,0.001,0.00097 
same,0.34793,0.087,0.00622 
same,0,0.001,0.00046 
same,0,0,0.00049 
same,0,0.001,0.00046 
same,0.95603,0.414,0.08326 
same,0,0.002,0.00037 
same,0,0,0.00011 
same,0.19428,0.002,0.00043 
same,0,0,0.00014 
same,0,0.002,0.00075 
same,0,0.002,0.00011 
same,0,0,0.00011 
same,0,0.003,0.00023 
same,0,0,0.00006 
same,0,0.003,0.00057 
same,0,0,0.00006 
same,0,0.003,0.00029 
same,0,0,0.00017 
same,0,0.006,0.00017 
same,0,0,0.00011 
same,0,0.006,0.00049 
same,0,0,0.00009 
same,0,0,0.00011 
same,0,0,0.00006 
same,0,0.007,0.00017 
same,0,0,0.00014 
same,0,0,0.00009 
same,0,0,0.00009 
same,0,0.008,0.00014 
same,0,0,0.00023 
same,0,0,0.00009 
same,0,0.009,0.00029 
same,0,0,0.00009 
same,0,0.01,0.00023 
same,0,0,0.00020 
same,0,0.009,0.00029 
same,0,0,0.00006 
same,0,0.01,0.00043 
same,0,0,0.00011 
same,0,0.01,0.00034 
same,0,0,0.00009 
same,0,0.01,0.00043 
same,0,0.02,0.00092 
same,0,0.009,0.00049 
same,0.23013,0.018,0.00100 
same,0,0.009,0.00049 
same,0,0.008,0.00049 
same,0,0.008,0.00043 
same,0,0.008,0.00046 
same,0,0.014,0.00095 
same,0.16575,0.02,0.00146 
same,0,0.006,0.00046 
same,0,0.013,0.00095 
same,0,0.007,0.00049 
same,0,0.014,0.00095 
same,0,0.014,0.00100 
same,0,0.007,0.00043 
same,0,0.014,0.00106 
same,0,0.007,0.00037 
same,0,0.013,0.00100 
same,0,0.006,0.00043 
same,0,0.012,0.00103 
same,0,0.005,0.00046 
same,0,0.009,0.00095 
same,0,0.006,0.00097 
same,0,0.002,0.00040 
same,0,0.003,0.00149 
same,0,0.001,0.00046 
same,0,0,0.00092 
same,0.6169,0.288,0.06836 
same,0.33473,0.005,0.00100 
same,0.2118,0.002,0.00049 
same,0.17156,0.005,0.00095 
same,0,0.003,0.00046 
same,0.50015,0.011,0.00097 
same,0.17454,0.012,0.00095 
same,0,0.013,0.00097 
same,0.15385,0.007,0.00049 
same,0,0.013,0.00092 
same,0.20524,0.006,0.00049 
same,0,0.006,0.00049 
same,0.16688,0.012,0.00095 
same,0,0.006,0.00046 
same,0,0.011,0.00097 
same,0,0.005,0.00049 
same,0.31376,0.01,0.00095 
same,0,0.005,0.00049 
same,0,0.005,0.00046 
same,0,0.009,0.00095 
same,0.15947,0.005,0.00049 
same,0.24087,0.009,0.00095 
same,0,0.01,0.00100 
same,0.2591,0.011,0.00095 
same,0.81579,0.08,0.00619 
same,0.5799,0.002,0.00100 
same,0.14305,0.001,0.00043 
same,0.55508,0.017,0.00287 
same,0.15023,0.001,0.00049 
different,0.55149,0.324,0.03792 
different,0.55149,0.325,0.03841 
same,0,0.001,0.00049 
different,0.55149,0.325,0.03855 
same,0,0,0.00014 
different,0.55149,0.325,0.03935 
same,0,0,0.00080 
different,0.55149,0.325,0.04024 
same,0,0,0.00089 
different,0.55149,0.326,0.04127 
same,0,0.001,0.00103 
different,0.55149,0.326,0.04167 
same,0,0.001,0.00040 
different,0.55149,0.326,0.04176 
same,0,0,0.00009 
different,0.55149,0.327,0.04213 
same,0,0.001,0.00037 
different,0.55149,0.327,0.04225 
same,0,0,0.00011 
different,0.55149,0.328,0.04259 
same,0,0.001,0.00034 
different,0.55149,0.328,0.04268 
same,0,0,0.00009 
different,0.55149,0.329,0.04311 
same,0,0.001,0.00043 
different,0.55149,0.329,0.04336 
same,0,0,0.00026 
different,0.55149,0.33,0.04354 
same,0,0.002,0.00017 
different,0.55149,0.33,0.04362 
same,0,0,0.00009 
different,0.55149,0.332,0.04411 
same,0,0.001,0.00049 
different,0.55149,0.332,0.04419 
same,0,0,0.00009 
different,0.55149,0.333,0.04451 
same,0,0.002,0.00032 
different,0.55149,0.333,0.04460 
same,0,0,0.00009 
different,0.39223,0.334,0.04526 
same,0.15926,0.001,0.00066 
different,0.39223,0.336,0.04560 
same,0,0.002,0.00034 
different,0.39223,0.336,0.04571 
same,0,0,0.00011 
different,0.39223,0.337,0.04591 
same,0,0.001,0.00020 
different,0.39223,0.337,0.04600 
same,0,0,0.00009 
different,0.39223,0.338,0.04640 
same,0,0.002,0.00040 
different,0.39223,0.338,0.04657 
same,0,0,0.00017 
different,0.39223,0.34,0.04686 
same,0,0.002,0.00029 
different,0.39223,0.34,0.04695 
same,0,0,0.00009 
different,0.39223,0.342,0.04738 
same,0,0.002,0.00043 
different,0.39223,0.342,0.04749 
same,0,0,0.00011 
different,0.39223,0.343,0.04786 
same,0,0.002,0.00037 
different,0.39223,0.343,0.04806 
same,0,0,0.00020 
different,0.39223,0.345,0.04832 
same,0,0.002,0.00026 
different,0.39223,0.345,0.04841 
same,0,0,0.00009 
different,0.39223,0.347,0.04887 
same,0,0.002,0.00046 
different,0.39223,0.347,0.04904 
same,0,0,0.00017 
different,0.39223,0.348,0.04930 
same,0,0.002,0.00026 
different,0.39223,0.348,0.04938 
same,0,0,0.00009 
different,0.39223,0.351,0.04984 
same,0,0.002,0.00046 
different,0.39223,0.351,0.04993 
same,0,0,0.00009 
different,0.39223,0.353,0.05033 
same,0,0.002,0.00040 
different,0.39223,0.353,0.05039 
same,0,0,0.00006 
different,0.39223,0.354,0.05073 
same,0,0.002,0.00034 
different,0.39223,0.354,0.05082 
same,0,0,0.00009 
different,0.39223,0.356,0.05116 
same,0,0.002,0.00034 
different,0.39223,0.356,0.05122 
same,0,0,0.00006 
different,0.39223,0.358,0.05168 
same,0,0.002,0.00046 
different,0.39223,0.358,0.05176 
same,0,0,0.00009 
different,0.39223,0.36,0.05211 
same,0,0.002,0.00034 
different,0.39223,0.36,0.05222 
same,0,0,0.00011 
different,0.39223,0.362,0.05262 
same,0,0.002,0.00040 
different,0.39223,0.362,0.05285 
same,0,0,0.00023 
different,0.39223,0.364,0.05319 
same,0,0.002,0.00034 
different,0.39223,0.364,0.05325 
same,0,0,0.00006 
different,0.39223,0.366,0.05360 
same,0,0.002,0.00034 
different,0.39223,0.366,0.05368 
same,0,0,0.00009 
different,0.39223,0.369,0.05428 
same,0,0.002,0.00060 
different,0.39223,0.371,0.05454 
same,0,0.002,0.00026 
different,0.39223,0.371,0.05463 
same,0,0,0.00009 
