classification,orientation,distance,time
same,0,0.003,0.00010 
same,0,0,0.00002 
same,0.18661,0.099,0.00435 
same,0,0,0.00015 
same,0.21015,0.008,0.00015 
same,0,0.028,0.00050 
same,0,0.01,0.00015 
same,0,0.026,0.00048 
same,0.16166,0.038,0.00049 
same,0,0.008,0.00014 
same,0.15777,0.027,0.00048 
same,0.14252,0.059,0.00065 
same,0,0.024,0.00033 
same,0.16586,0.011,0.00047 
same,0,0.013,0.00032 
same,0,0.025,0.00033 
same,0,0.015,0.00015 
same,0.14556,0.035,0.00033 
same,0,0.034,0.00032 
same,0.84475,0.131,0.00900 
same,0,0.013,0.00032 
same,0.51911,0.038,0.00065 
same,0.74064,0.173,0.00088 
same,0.2166,0.004,0.00014 
same,0,0.002,0.00012 
same,0,0.001,0.00015 
same,0,0.006,0.00032 
same,0.74707,0.143,0.00074 
same,0,0.008,0.00033 
same,0.1928,0.012,0.00033 
same,0,0.009,0.00031 
same,0,0.009,0.00032 
same,0.16187,0.005,0.00013 
same,0,0.009,0.00013 
same,0,0.02,0.00036 
same,0,0.012,0.00015 
same,0,0.014,0.00011 
same,0.15853,0.045,0.00048 
same,0.15286,0.058,0.03867 
same,0.15031,0.002,0.00051 
same,0,0.001,0.00015 
same,0,0.001,0.00014 
same,0,0.003,0.00033 
same,0,0.005,0.00031 
same,0.14494,0.011,0.00048 
same,0.16929,0.019,0.00066 
same,0,0.006,0.00015 
same,0,0.012,0.00033 
same,0,0.012,0.00032 
same,0.16863,0.019,0.00047 
same,0,0.012,0.00034 
same,0,0.006,0.00015 
same,0.16291,0.047,0.00080 
same,0.14217,0.005,0.00033 
same,0.19089,0.03,0.00096 
same,0,0.006,0.00032 
same,0,0.008,0.00048 
same,0.14474,0.011,0.00033 
same,0,0.012,0.00032 
same,0,0.017,0.00048 
same,0,0.006,0.00015 
same,0,0.01,0.00033 
same,0.16385,0.013,0.00065 
same,0,0.004,0.00033 
same,0.19125,0.013,0.00209 
same,0.31625,0.104,0.01526 
same,0.1764,0.004,0.00033 
same,0,0.008,0.00049 
same,0,0.003,0.00014 
same,0,0.017,0.00048 
same,0,0.019,0.00048 
same,0.15751,0.022,0.00065 
same,0,0.014,0.00048 
different,0.09083,0.42,0.09690 
different,0.09083,0.419,0.09754 
same,0,0.001,0.00065 
different,0.09083,0.416,0.09820 
same,0,0.004,0.00066 
different,0.09083,0.414,0.09835 
same,0,0.002,0.00015 
different,0.09083,0.411,0.09867 
same,0,0.005,0.00032 
different,0.09083,0.403,0.09915 
same,0,0.01,0.00048 
different,0.09083,0.397,0.09949 
same,0,0.007,0.00034 
different,0.09083,0.391,0.09981 
same,0,0.008,0.00032 
different,0.09083,0.381,0.10029 
same,0,0.013,0.00048 
different,0.09083,0.378,0.10044 
same,0,0.005,0.00015 
different,0.09083,0.371,0.10077 
same,0,0.009,0.00033 
different,0.09083,0.367,0.10093 
same,0,0.005,0.00015 
different,0.09083,0.355,0.10143 
same,0,0.015,0.00050 
different,0.09083,0.347,0.10174 
same,0,0.01,0.00031 
different,0.09083,0.338,0.10205 
same,0,0.01,0.00032 
different,0.09083,0.325,0.10256 
same,0,0.016,0.00051 
different,0.09083,0.321,0.10272 
same,0,0.006,0.00015 
different,0.09083,0.316,0.10287 
same,0,0.005,0.00015 
different,0.09083,0.312,0.10303 
same,0,0.006,0.00015 
different,0.07327,0.303,0.10334 
same,0.1641,0.012,0.00032 
different,0.07327,0.289,0.10383 
same,0,0.019,0.00048 
different,0.07327,0.273,0.10433 
same,0,0.021,0.00050 
different,0.07327,0.267,0.10446 
same,0,0.007,0.00013 
different,0.21834,0.251,0.10494 
same,0.14506,0.023,0.00048 
different,0.21834,0.235,0.10544 
same,0,0.024,0.00050 
different,0.21834,0.22,0.10594 
same,0,0.024,0.00049 
different,0.21834,0.211,0.10625 
same,0,0.016,0.00032 
different,0.21834,0.202,0.10657 
same,0,0.016,0.00032 
different,0.21834,0.194,0.10688 
same,0,0.016,0.00031 
different,0.21834,0.187,0.10721 
same,0,0.016,0.00033 
different,0.21834,0.178,0.10770 
same,0,0.024,0.00049 
different,0.21834,0.175,0.10784 
