classification,orientation,distance,time
same,0,0.001,0.00025 
same,0.27013,0.039,0.00700 
same,0,0,0.00013 
same,0.28532,0.033,0.00627 
same,0,0,0.00012 
same,0.40687,0.086,0.01771 
same,0.2133,0,0.00012 
same,0.67274,0.643,0.01204 
same,0,0,0.00013 
same,0,0.001,0.00013 
same,0.1648,0,0.00030 
same,0,0.001,0.00037 
same,0,0.002,0.00025 
same,0,0.002,0.00012 
same,0,0.002,0.00013 
same,0,0.006,0.00026 
same,0,0.004,0.00011 
same,0.14396,0.009,0.00025 
same,0,0.005,0.00012 
same,0,0.006,0.00013 
same,0,0.012,0.00024 
same,0.1453,0.013,0.00025 
same,0,0.006,0.00013 
same,0,0.013,0.00026 
same,0,0.006,0.00010 
same,0,0.013,0.00024 
same,0,0.012,0.00024 
same,0,0.012,0.00024 
same,0,0.02,0.00038 
same,0,0.014,0.00026 
same,0,0.007,0.00011 
same,0,0.008,0.00013 
same,0,0.008,0.00012 
same,0.15678,0.008,0.00013 
same,0,0.016,0.00025 
same,0,0.009,0.00012 
same,0,0.009,0.00012 
same,0,0.018,0.00026 
same,0.16969,0.019,0.00027 
same,0,0.01,0.00010 
same,0,0.01,0.00013 
same,0,0.011,0.00013 
same,0,0.011,0.00011 
same,0,0.021,0.00026 
same,0,0.021,0.00024 
same,0,0.011,0.00013 
same,0,0.029,0.00038 
same,0,0.009,0.00011 
same,0,0.009,0.00013 
same,0,0.008,0.00012 
same,0,0.008,0.00013 
same,0,0.014,0.00024 
same,0,0.012,0.00024 
same,0.15339,0.01,0.00025 
same,0,0.008,0.00027 
same,0,0.003,0.00011 
same,0,0.002,0.00013 
same,0.14529,0.002,0.00012 
same,0,0.001,0.00012 
same,0,0.001,0.00012 
same,0,0.001,0.00025 
same,0,0.001,0.00012 
same,0,0.006,0.00039 
same,0,0.002,0.00010 
same,0,0.005,0.00025 
same,0,0.003,0.00013 
same,0,0.003,0.00012 
same,0,0.007,0.00024 
same,0,0.004,0.00013 
same,0,0.009,0.00025 
same,0,0.005,0.00013 
same,0,0.01,0.00026 
same,0,0.005,0.00011 
same,0,0.011,0.00025 
