classification,orientation,distance,time
same,0,0.007,0.00024 
same,0.20243,0.001,0.00005 
same,0.14876,0.001,0.00015 
same,0,0,0.00016 
same,0,0.001,0.00007 
same,0.28093,0.006,0.00072 
same,0.32738,0.005,0.00007 
same,0.22472,0.01,0.00015 
same,0,0.006,0.00008 
same,0.16675,0.007,0.00008 
same,0.65491,0.059,0.00827 
same,0,0,0.00007 
same,0,0,0.00018 
same,0,0.001,0.00006 
same,0.21875,0.046,0.00556 
same,0,0,0.00057 
same,0.11993,0.006,0.00668 
same,0,0,0.00007 
same,0,0,0.00007 
same,0,0,0.00008 
same,0,0.001,0.00008 
same,0.38226,0.64,0.01077 
same,0.93582,1.187,0.02464 
same,0.64636,0.114,0.01817 
same,0.59673,0,0.00016 
same,0,0,0.00007 
same,0.20947,0,0.00008 
same,0.17454,0.323,0.01029 
same,0,0.003,0.00007 
same,0.183,0.005,0.00016 
same,0,0.003,0.00007 
same,0,0.003,0.00008 
same,0.14504,0.003,0.00007 
same,0,0.009,0.00016 
same,0,0.006,0.00007 
same,0,0.006,0.00007 
same,0,0.006,0.00008 
same,0,0.006,0.00007 
same,0.14057,0.01,0.00016 
same,0,0.004,0.00007 
same,0,0.004,0.00008 
same,0,0.003,0.00007 
same,0.17604,0.003,0.00008 
same,0,0.002,0.00007 
same,0,0.002,0.00008 
same,0,0.002,0.00007 
same,0,0.002,0.00008 
same,0.22827,0.002,0.00007 
same,0,0.002,0.00008 
same,0,0.002,0.00008 
same,0.16633,0.003,0.00015 
same,0,0.001,0.00008 
same,0,0.001,0.00008 
same,0,0.001,0.00007 
same,0.17151,0,0.00008 
same,0,0.001,0.00029 
same,0,0.001,0.00006 
same,0,0.002,0.00008 
same,0,0.002,0.00007 
same,0,0.006,0.00020 
same,0,0.003,0.00007 
same,0,0.008,0.00020 
same,0,0.004,0.00003 
same,0,0.004,0.00006 
same,0,0.008,0.00016 
same,0,0.004,0.00007 
same,0.02892,0.045,0.00365 
same,0,0.002,0.00006 
same,0.14553,0.002,0.00007 
same,0,0.002,0.00007 
same,0,0.001,0.00008 
same,0,0.001,0.00008 
same,0.07339,0.059,0.00397 
same,0.17202,0.013,0.00223 
same,0,0,0.00026 
different,0.46439,0.218,0.11132 
different,0.46439,0.218,0.11139 
same,0,0.001,0.00007 
different,0.46439,0.218,0.11139 
same,0,0,0.00000 
different,0.46439,0.218,0.11147 
same,0,0,0.00007 
different,0.46439,0.218,0.11147 
same,0,0,0.00000 
different,0.46439,0.219,0.11154 
same,0,0.001,0.00007 
different,0.46439,0.219,0.11155 
same,0,0,0.00001 
different,0.46439,0.219,0.11156 
same,0,0,0.00001 
different,0.46439,0.219,0.11162 
same,0,0.001,0.00006 
different,0.46439,0.219,0.11162 
same,0,0,0.00001 
different,0.46439,0.219,0.11163 
same,0,0,0.00001 
different,0.46439,0.219,0.11167 
same,0,0,0.00004 
different,0.46439,0.226,0.11247 
same,0,0.018,0.00079 
different,0.46439,0.226,0.11248 
same,0,0,0.00001 
different,0.46439,0.228,0.11252 
same,0,0.005,0.00004 
different,0.46439,0.228,0.11252 
same,0,0,0.00000 
different,0.46439,0.228,0.11253 
same,0,0,0.00001 
different,0.46439,0.231,0.11263 
same,0,0.005,0.00010 
different,0.46439,0.231,0.11264 
same,0,0,0.00001 
different,0.46439,0.233,0.11266 
same,0,0.005,0.00002 
different,0.46439,0.233,0.11267 
same,0,0,0.00001 
different,0.46439,0.233,0.11268 
same,0,0,0.00001 
