classification,orientation,distance,time
same,0.14193,0,0.00004 
same,0,0,0.00003 
same,0,0.001,0.00003 
different,0.06309,0.259,0.08321 
different,0.06309,0.258,0.08368 
same,0,0.002,0.00047 
different,0.06309,0.258,0.08401 
same,0,0.001,0.00033 
different,0.06309,0.258,0.08415 
same,0,0.001,0.00014 
different,0.06309,0.258,0.08428 
same,0,0,0.00013 
different,0.22469,0.257,0.08443 
same,0.1616,0.001,0.00016 
different,0.22469,0.257,0.08448 
same,0,0,0.00004 
different,0.22469,0.256,0.08465 
same,0,0.001,0.00017 
different,0.22469,0.256,0.08468 
same,0,0,0.00003 
different,0.22469,0.255,0.08485 
same,0,0.001,0.00017 
different,0.22469,0.255,0.08490 
same,0,0,0.00006 
different,0.22469,0.254,0.08512 
same,0,0.002,0.00021 
different,0.22469,0.254,0.08515 
same,0,0,0.00003 
different,0.22469,0.252,0.08546 
same,0,0.002,0.00031 
different,0.22469,0.25,0.08559 
same,0,0.002,0.00013 
different,0.22469,0.25,0.08561 
same,0,0,0.00003 
different,0.22469,0.248,0.08583 
same,0,0.002,0.00021 
different,0.22469,0.248,0.08591 
same,0,0,0.00009 
different,0.22469,0.246,0.08607 
same,0,0.003,0.00016 
different,0.22469,0.246,0.08611 
same,0,0,0.00004 
different,0.22469,0.243,0.08630 
same,0,0.003,0.00018 
different,0.22469,0.243,0.08634 
same,0,0,0.00004 
different,0.22469,0.24,0.08655 
same,0,0.003,0.00021 
different,0.22469,0.24,0.08660 
same,0,0,0.00004 
different,0.22469,0.237,0.08677 
same,0,0.003,0.00017 
different,0.22469,0.237,0.08679 
same,0,0,0.00003 
different,0.22469,0.234,0.08699 
same,0,0.003,0.00020 
different,0.22469,0.234,0.08705 
same,0,0,0.00006 
different,0.22469,0.231,0.08724 
same,0,0.003,0.00018 
different,0.22469,0.231,0.08728 
same,0,0,0.00004 
different,0.22469,0.228,0.08746 
same,0,0.003,0.00018 
different,0.22469,0.228,0.08756 
same,0,0,0.00010 
different,0.22469,0.225,0.08770 
same,0,0.003,0.00014 
different,0.22469,0.225,0.08779 
same,0,0,0.00009 
