classification,orientation,distance,time
different,0.09112,0.433,0.54973 
same,0.86071,0.194,0.72890 
different,0.23041,0.501,0.17917 
same,0,0.001,0.00117 
different,0.23041,0.502,0.18034 
same,0,0.001,0.00117 
different,0.23041,0.504,0.18152 
same,0,0.002,0.00104 
different,0.23041,0.505,0.18255 
same,0.14315,0.001,0.00124 
different,0.37356,0.506,0.18380 
same,0,0.003,0.00117 
different,0.37356,0.508,0.18497 
same,0,0.003,0.00173 
different,0.37356,0.511,0.18670 
same,0,0.003,0.00111 
different,0.37356,0.514,0.18780 
same,0.1399,0.003,0.00090 
different,0.51346,0.517,0.18870 
same,0,0.003,0.00104 
different,0.51346,0.52,0.18974 
same,0,0.003,0.00097 
different,0.51346,0.522,0.19070 
same,0,0.004,0.00221 
different,0.51346,0.527,0.19291 
same,0,0.002,0.00124 
different,0.51346,0.529,0.19416 
same,0,0.002,0.00111 
different,0.51346,0.531,0.19526 
same,0,0.002,0.00111 
different,0.51346,0.532,0.19637 
same,0,0.001,0.00117 
different,0.51346,0.534,0.19754 
same,0,0.003,0.00283 
different,0.51346,0.537,0.20037 
same,0,0.002,0.00117 
different,0.51346,0.538,0.20155 
same,0,0.002,0.00124 
different,0.51346,0.54,0.20279 
same,0,0.002,0.00090 
different,0.51346,0.542,0.20369 
same,0,0.002,0.00097 
different,0.51346,0.544,0.20466 
same,0,0.004,0.00193 
different,0.51346,0.549,0.20659 
same,0,0,0.00014 
different,0.51346,0.549,0.20673 
same,0,0.002,0.00124 
different,0.51346,0.551,0.20797 
same,0,0.003,0.00117 
different,0.51346,0.554,0.20914 
same,0,0.003,0.00104 
different,0.51346,0.556,0.21018 
same,0,0.003,0.00117 
different,0.51346,0.559,0.21136 
same,0,0.003,0.00111 
different,0.51346,0.561,0.21246 
same,0.14509,0.003,0.00173 
different,0.65855,0.563,0.21419 
same,0,0.003,0.00111 
different,0.65855,0.566,0.21529 
same,0,0.003,0.00090 
different,0.65855,0.569,0.21619 
same,0,0.003,0.00104 
different,0.65855,0.571,0.21723 
same,0,0.003,0.00097 
different,0.65855,0.573,0.21819 
same,0,0.006,0.00228 
