classification,orientation,distance,time
same,0,0.001,0.00445 
same,0,0,0.00064 
same,0,0.001,0.00011 
same,0,0.001,0.00011 
same,0,0.002,0.00011 
same,0,0.002,0.00074 
same,0.15486,0.031,0.00620 
same,0.15357,0.029,0.00355 
same,0.4255,0.092,0.00970 
same,0.16754,0.02,0.00180 
same,0.25078,0.091,0.04154 
same,0.43493,0.121,0.01415 
same,0.1776,0.003,0.00260 
same,0.35883,0.452,0.02654 
same,0,0.01,0.00530 
same,0.20129,0.016,0.00360 
same,0,0.006,0.00085 
same,0.125,0.062,0.02824 
same,0,0.066,0.01150 
same,0,0.013,0.00175 
same,0.1697,0.034,0.00540 
same,0,0.005,0.00079 
same,0,0.012,0.00265 
same,0,0.009,0.00265 
different,0.10006,0.478,0.01727 
same,0.67767,0.411,0.02368 
different,0.77773,0.088,0.00641 
same,0,0.001,0.00079 
different,0.77773,0.088,0.00721 
same,0,0.001,0.00159 
different,0.77773,0.089,0.00879 
same,0,0.006,0.00350 
different,0.77773,0.095,0.01229 
same,0,0.01,0.00307 
different,0.77773,0.104,0.01536 
same,0,0.005,0.00074 
different,0.77773,0.109,0.01611 
same,0,0.011,0.00159 
different,0.77773,0.119,0.01770 
same,0,0.005,0.00079 
different,0.77773,0.125,0.01849 
same,0,0.027,0.00440 
different,0.77773,0.152,0.02289 
same,0.14245,0.01,0.00217 
different,0.63528,0.162,0.02506 
same,0,0.004,0.00074 
different,0.63528,0.167,0.02580 
same,0,0.005,0.00079 
different,0.63528,0.171,0.02660 
same,0,0.01,0.00260 
different,0.63528,0.181,0.02919 
same,0,0.009,0.00159 
different,0.63528,0.19,0.03078 
same,0,0.005,0.00064 
different,0.63528,0.195,0.03142 
same,0,0.005,0.00079 
different,0.63528,0.2,0.03221 
same,0.01948,0.427,0.06278 
different,0.65476,0.565,0.09499 
same,0,0.005,0.00085 
different,0.65476,0.57,0.09584 
same,0,0.011,0.00180 
different,0.65476,0.582,0.09764 
same,0.18131,0.047,0.00705 
different,0.47344,0.629,0.10469 
same,0.0138,0.058,0.00482 
different,0.48725,0.687,0.10951 
same,0.20867,0.008,0.00265 
different,0.27858,0.695,0.11216 
same,0.20289,0.006,0.00180 
different,0.07569,0.701,0.11396 
same,0.6762,0.02,0.04567 
different,0.39949,0.719,0.15963 
same,0,0.002,0.00074 
different,0.39949,0.717,0.16037 
same,0,0,0.00011 
different,0.39949,0.717,0.16048 
same,0,0,0.00011 
different,0.39949,0.717,0.16058 
same,0.32587,0.002,0.00069 
different,0.72536,0.716,0.16127 
same,0,0,0.00011 
different,0.72536,0.716,0.16138 
same,0.27203,0.001,0.00079 
different,0.99739,0.716,0.16217 
same,0,0,0.00011 
different,0.99739,0.716,0.16228 
same,0,0.004,0.00074 
different,0.99739,0.713,0.16302 
same,0,0,0.00011 
different,0.99739,0.713,0.16313 
same,0,0.003,0.00138 
different,0.99739,0.711,0.16450 
same,0,0.002,0.00032 
different,0.99739,0.71,0.16482 
same,0,0,0.00011 
different,0.99739,0.71,0.16493 
same,0,0.004,0.00090 
different,0.99739,0.707,0.16583 
same,0,0,0.00011 
different,0.99739,0.707,0.16593 
same,0,0,0.00011 
different,0.99739,0.707,0.16604 
same,0,0.004,0.00069 
different,0.99739,0.704,0.16673 
same,0,0,0.00011 
different,0.99739,0.704,0.16683 
same,0,0,0.00011 
different,0.99739,0.704,0.16694 
same,0,0,0.00016 
different,0.99739,0.704,0.16710 
same,0,0.004,0.00037 
different,0.99739,0.701,0.16747 
same,0,0,0.00064 
different,0.99739,0.701,0.16811 
same,0,0,0.00011 
different,0.99739,0.701,0.16821 
same,0,0,0.00011 
different,0.99739,0.701,0.16832 
same,0,0.004,0.00016 
different,0.99739,0.699,0.16848 
same,0,0,0.00011 
different,0.99739,0.699,0.16858 
same,0,0,0.00011 
different,0.99739,0.699,0.16869 
same,0,0,0.00011 
different,0.99739,0.699,0.16879 
same,0,0.004,0.00064 
different,0.99739,0.696,0.16943 
same,0,0,0.00016 
different,0.99739,0.696,0.16959 
same,0,0,0.00011 
different,0.99739,0.696,0.16970 
same,0,0,0.00011 
different,0.99739,0.696,0.16980 
same,0.26884,0.004,0.00148 
different,0.72855,0.693,0.17128 
same,0,0,0.00058 
different,0.72855,0.693,0.17187 
same,0,0.002,0.00011 
different,0.72855,0.691,0.17197 
same,0,0,0.00011 
different,0.72855,0.691,0.17208 
same,0,0,0.00011 
different,0.72855,0.691,0.17219 
same,0,0,0.00011 
different,0.72855,0.691,0.17229 
same,0,0.001,0.00011 
different,0.72855,0.692,0.17240 
same,0,0,0.00016 
different,0.72855,0.692,0.17256 
same,0,0,0.00016 
different,0.72855,0.692,0.17272 
same,0,0,0.00011 
different,0.72855,0.692,0.17282 
same,0,0.001,0.00042 
different,0.72855,0.692,0.17325 
same,0,0,0.00011 
different,0.72855,0.692,0.17335 
same,0,0,0.00011 
different,0.72855,0.692,0.17346 
same,0,0,0.00011 
different,0.72855,0.692,0.17356 
same,0,0.001,0.00011 
different,0.72855,0.693,0.17367 
same,0,0,0.00011 
different,0.72855,0.693,0.17377 
same,0,0,0.00011 
different,0.72855,0.693,0.17388 
same,0,0,0.00011 
different,0.72855,0.693,0.17399 
same,0,0.001,0.00053 
different,0.72855,0.693,0.17452 
same,0,0,0.00016 
different,0.72855,0.693,0.17468 
same,0,0,0.00011 
different,0.72855,0.693,0.17478 
same,0,0,0.00011 
different,0.72855,0.693,0.17489 
same,0,0.002,0.00127 
different,0.72855,0.694,0.17616 
same,0,0,0.00011 
different,0.72855,0.694,0.17626 
same,0,0,0.00016 
different,0.72855,0.694,0.17642 
same,0,0.001,0.00021 
different,0.72855,0.693,0.17664 
same,0,0,0.00011 
different,0.72855,0.693,0.17674 
same,0,0,0.00016 
different,0.72855,0.693,0.17690 
same,0,0,0.00069 
different,0.72855,0.693,0.17759 
different,0.69012,0.554,0.00011 
same,0.03843,0.163,0.17770 
different,0.69012,0.554,0.00021 
same,0,0,0.00011 
different,0.69012,0.554,0.00090 
same,0,0.001,0.00069 
different,0.69012,0.554,0.00148 
same,0,0,0.00058 
different,0.69012,0.555,0.00159 
same,0,0.001,0.00011 
different,0.69012,0.555,0.00175 
same,0,0,0.00016 
different,0.69012,0.555,0.00254 
same,0,0.001,0.00079 
different,0.69012,0.555,0.00265 
same,0,0,0.00011 
different,0.69012,0.556,0.00334 
same,0,0.002,0.00069 
different,0.69012,0.556,0.00344 
same,0,0,0.00011 
different,0.69012,0.557,0.00424 
same,0,0.002,0.00079 
different,0.69012,0.557,0.00434 
same,0,0,0.00011 
different,0.69012,0.558,0.00514 
same,0,0.002,0.00079 
different,0.69012,0.558,0.00530 
same,0,0,0.00016 
different,0.69012,0.558,0.00599 
same,0,0.002,0.00069 
different,0.69012,0.558,0.00609 
same,0,0,0.00011 
different,0.69012,0.559,0.00774 
same,0,0.002,0.00164 
different,0.69012,0.56,0.00784 
same,0,0.002,0.00011 
different,0.69012,0.56,0.00800 
same,0,0,0.00016 
different,0.69012,0.56,0.00853 
same,0,0.001,0.00053 
different,0.69012,0.56,0.00864 
same,0,0,0.00011 
different,0.5392,0.561,0.00938 
same,0.15092,0.001,0.00074 
different,0.5392,0.561,0.00954 
same,0,0,0.00016 
different,0.5392,0.562,0.01028 
same,0,0.001,0.00074 
different,0.5392,0.562,0.01038 
same,0,0,0.00011 
different,0.03687,0.608,0.01203 
same,0.50233,0.084,0.00164 
same,0.38859,0.037,0.04397 
different,0.42546,0.588,0.03195 
same,0,0,0.00011 
different,0.42546,0.588,0.03205 
same,0,0,0.00069 
different,0.42546,0.588,0.03274 
same,0,0,0.00005 
different,0.42546,0.588,0.03279 
same,0,0,0.00011 
different,0.42546,0.588,0.03290 
same,0,0,0.00011 
different,0.42546,0.588,0.03301 
same,0,0,0.00064 
different,0.42546,0.588,0.03364 
same,0,0,0.00005 
different,0.42546,0.588,0.03370 
same,0,0,0.00011 
different,0.42546,0.588,0.03380 
same,0,0,0.00079 
different,0.42546,0.588,0.03460 
same,0,0,0.00011 
different,0.42546,0.588,0.03470 
same,0,0.001,0.00011 
different,0.42546,0.587,0.03481 
same,0,0,0.00021 
different,0.42546,0.587,0.03502 
same,0,0,0.00011 
different,0.42546,0.587,0.03513 
same,0,0,0.00011 
different,0.42546,0.587,0.03523 
same,0,0,0.00005 
different,0.42546,0.587,0.03528 
same,0,0.001,0.00021 
different,0.42546,0.587,0.03550 
same,0,0,0.00005 
different,0.42546,0.587,0.03555 
same,0,0,0.00011 
different,0.42546,0.587,0.03566 
different,0.68625,0.58,0.02442 
same,0.26079,0.059,0.06008 
different,0.68625,0.58,0.02453 
same,0,0,0.00011 
different,0.68625,0.58,0.02464 
same,0,0,0.00011 
different,0.68625,0.585,0.02585 
same,0,0.005,0.00122 
different,0.68625,0.585,0.02591 
same,0,0,0.00005 
different,0.68625,0.589,0.02649 
same,0,0.004,0.00058 
different,0.68625,0.589,0.02654 
