classification,orientation,distance,time
same,0,0,0.00007 
same,0.33212,0.001,0.00005 
same,0.14785,0,0.00017 
same,0.72183,0.355,0.00817 
same,0.59779,0.348,0.00381 
same,0,0.001,0.00006 
same,0,0,0.00006 
same,0,0.001,0.00006 
same,0,0.002,0.00006 
same,0,0.005,0.00013 
same,0,0.003,0.00005 
same,0,0.003,0.00006 
same,0,0.006,0.00007 
same,0,0.007,0.00006 
same,0,0.008,0.00005 
same,0,0.008,0.00006 
same,0,0.009,0.00006 
same,0,0.009,0.00006 
same,0,0.01,0.00006 
same,0,0.01,0.00006 
same,0,0.01,0.00006 
same,0,0.019,0.00012 
same,0,0.009,0.00006 
same,0.2083,0.009,0.00006 
same,0,0.008,0.00005 
same,0,0.007,0.00006 
same,0,0.007,0.00006 
same,0,0.006,0.00006 
same,0,0.006,0.00006 
same,0,0.005,0.00006 
same,0,0.005,0.00006 
same,0,0.009,0.00012 
same,0,0.004,0.00006 
same,0,0.004,0.00008 
same,0,0.004,0.00005 
same,0,0.003,0.00006 
same,0.62478,0.28,0.00234 
same,0,0.001,0.00005 
same,0.05154,0.05,0.01257 
same,0,0.001,0.00006 
same,0,0.001,0.00025 
same,0,0,0.00005 
same,0,0,0.00006 
same,0,0,0.00006 
same,0,0,0.00006 
same,0,0,0.00006 
same,0.28302,0.113,0.00536 
same,0,0,0.00005 
same,0,0.001,0.00014 
different,0.02744,0.43,0.00254 
different,0.02744,0.43,0.00260 
same,0,0.001,0.00005 
different,0.02744,0.43,0.00266 
same,0,0,0.00006 
different,0.02744,0.431,0.00271 
same,0,0.001,0.00006 
different,0.02744,0.432,0.00278 
same,0,0.001,0.00006 
different,0.02744,0.433,0.00284 
same,0,0.002,0.00006 
different,0.02744,0.434,0.00290 
same,0,0.001,0.00006 
different,0.02744,0.435,0.00295 
same,0,0.001,0.00006 
different,0.02744,0.436,0.00301 
same,0,0.001,0.00006 
different,0.02744,0.437,0.00308 
same,0,0.002,0.00006 
different,0.02744,0.441,0.00319 
same,0,0.004,0.00012 
different,0.02744,0.443,0.00325 
same,0,0.002,0.00006 
different,0.02744,0.445,0.00332 
same,0,0.002,0.00007 
different,0.02744,0.451,0.00352 
same,0,0.007,0.00020 
different,0.02744,0.454,0.00355 
same,0,0.002,0.00003 
different,0.02744,0.456,0.00361 
same,0,0.002,0.00006 
different,0.02744,0.458,0.00367 
same,0,0.002,0.00006 
different,0.02744,0.46,0.00373 
same,0,0.002,0.00006 
different,0.02744,0.464,0.00385 
same,0,0.004,0.00012 
different,0.02744,0.465,0.00391 
same,0,0.002,0.00006 
different,0.02744,0.466,0.00397 
same,0,0.001,0.00006 
different,0.02744,0.466,0.00403 
same,0,0.001,0.00006 
different,0.02744,0.466,0.00409 
same,0,0.001,0.00006 
different,0.02744,0.466,0.00415 
same,0,0.001,0.00006 
different,0.02744,0.466,0.00421 
same,0,0.001,0.00006 
different,0.02744,0.466,0.00426 
same,0,0.001,0.00006 
different,0.02744,0.466,0.00433 
same,0,0,0.00006 
different,0.02744,0.465,0.00439 
same,0,0.001,0.00006 
different,0.02744,0.465,0.00444 
same,0,0,0.00006 
different,0.02744,0.465,0.00459 
same,0,0.001,0.00015 
different,0.02744,0.464,0.00464 
