classification,orientation,distance,time
same,0,0,0.00028 
same,0,0,0.00030 
same,0,0.001,0.00204 
same,0,0,0.00004 
same,0.24116,0.002,0.00007 
same,0.19227,0.001,0.00004 
same,0,0.002,0.00011 
same,0,0.003,0.00030 
same,0,0.006,0.00082 
same,0,0.004,0.00027 
same,0.18122,0.006,0.00027 
same,0.22549,0.016,0.00094 
same,0.15106,0.02,0.00084 
same,0.15282,0.021,0.00084 
same,0,0.011,0.00036 
same,0,0.023,0.00080 
different,0.8362,0.544,0.00282 
different,0.8362,0.546,0.00313 
same,0,0.002,0.00030 
different,0.8362,0.546,0.00345 
same,0,0,0.00032 
different,0.8362,0.55,0.00380 
same,0,0.006,0.00036 
different,0.17608,0.551,0.00403 
same,0.66012,0.001,0.00023 
different,0.34163,0.553,0.00487 
same,0.16555,0.002,0.00084 
different,0.50182,0.554,0.00510 
same,0.16019,0.002,0.00023 
different,0.50182,0.555,0.00545 
same,0,0.002,0.00036 
different,0.50182,0.558,0.00574 
same,0,0.004,0.00028 
different,0.50182,0.562,0.00601 
same,0,0.005,0.00027 
different,0.60588,0.172,0.02574 
same,0.89594,0.43,0.01974 
different,0.60588,0.179,0.02717 
same,0,0.009,0.00142 
different,0.60588,0.183,0.02784 
same,0,0.004,0.00068 
different,0.60588,0.186,0.02814 
same,0,0.004,0.00030 
different,0.60588,0.189,0.02852 
same,0,0.004,0.00037 
different,0.60588,0.192,0.02889 
same,0,0.004,0.00037 
different,0.60588,0.198,0.02974 
same,0,0.006,0.00085 
different,0.88799,0.203,0.03054 
same,0.28211,0.006,0.00080 
different,0.88799,0.206,0.03090 
same,0,0.003,0.00036 
different,0.09922,0.209,0.03109 
same,0.21123,0.003,0.00020 
different,0.09922,0.212,0.03139 
same,0,0.003,0.00030 
different,0.09922,0.216,0.03171 
same,0,0.004,0.00032 
different,0.09922,0.224,0.03253 
same,0,0.008,0.00082 
different,0.09922,0.228,0.03278 
same,0,0.004,0.00025 
different,0.87119,0.232,0.03306 
same,0.22803,0.005,0.00028 
different,0.65577,0.245,0.03449 
same,0.21542,0.013,0.00142 
different,0.65577,0.25,0.03484 
same,0,0.004,0.00036 
different,0.65577,0.254,0.03511 
same,0,0.004,0.00027 
different,0.65577,0.258,0.03536 
same,0,0.004,0.00025 
different,0.65577,0.262,0.03564 
same,0,0.004,0.00028 
different,0.8709,0.269,0.03632 
same,0.21513,0.008,0.00068 
different,0.01586,0.273,0.03674 
same,0.14496,0.004,0.00043 
different,0.01586,0.281,0.03768 
same,0,0.008,0.00094 
different,0.01586,0.299,0.03966 
same,0,0.017,0.00197 
different,0.87516,0.303,0.03996 
same,0.1407,0.004,0.00030 
different,0.87516,0.307,0.04026 
same,0,0.004,0.00030 
different,0.87516,0.321,0.04925 
same,0,0.014,0.00899 
different,0.06527,0.324,0.04930 
same,0.19011,0.003,0.00005 
different,0.06527,0.327,0.04932 
same,0,0.003,0.00002 
different,0.06527,0.327,0.04936 
same,0,0,0.00004 
different,0.06527,0.33,0.04941 
same,0,0.003,0.00005 
different,0.06527,0.334,0.04944 
same,0,0.003,0.00004 
different,0.06527,0.337,0.04948 
same,0,0.003,0.00004 
different,0.20578,0.34,0.04959 
same,0.14051,0.003,0.00011 
different,0.20578,0.343,0.04987 
same,0,0.003,0.00028 
different,0.20578,0.355,0.05300 
same,0,0.012,0.00313 
different,0.20578,0.358,0.05342 
same,0,0.003,0.00043 
different,0.03053,0.362,0.05369 
same,0.17525,0.003,0.00027 
different,0.03053,0.365,0.05399 
same,0,0.003,0.00030 
different,0.03053,0.37,0.05485 
same,0,0.006,0.00085 
different,0.03053,0.378,0.05659 
same,0,0.008,0.00174 
different,0.03053,0.378,0.05692 
same,0,0,0.00034 
different,0.03053,0.38,0.05723 
same,0,0.002,0.00030 
different,0.03053,0.38,0.05753 
same,0,0,0.00030 
different,0.03053,0.382,0.05781 
same,0,0.002,0.00028 
different,0.03053,0.382,0.05810 
same,0,0,0.00028 
different,0.03053,0.383,0.05842 
same,0,0.002,0.00032 
different,0.30831,0.385,0.05865 
same,0.27778,0.001,0.00023 
different,0.46565,0.389,0.05989 
same,0.15734,0.004,0.00124 
different,0.46565,0.39,0.06002 
same,0,0.001,0.00012 
different,0.46565,0.391,0.06044 
same,0,0.001,0.00043 
different,0.46565,0.392,0.06085 
same,0,0.001,0.00041 
different,0.46565,0.394,0.06126 
same,0,0.002,0.00041 
different,0.46565,0.395,0.06131 
same,0,0.001,0.00005 
different,0.24049,0.396,0.06158 
same,0.22516,0.002,0.00027 
different,0.24049,0.398,0.06192 
same,0,0.001,0.00034 
different,0.24049,0.399,0.06229 
same,0,0.001,0.00037 
different,0.09611,0.4,0.06257 
same,0.14438,0.001,0.00028 
different,0.09611,0.401,0.06325 
same,0,0.001,0.00068 
different,0.09611,0.403,0.06384 
same,0,0.002,0.00059 
different,0.09611,0.405,0.06476 
same,0,0.002,0.00092 
different,0.09611,0.405,0.06499 
same,0,0.001,0.00023 
different,0.09611,0.407,0.06565 
same,0,0.002,0.00066 
different,0.09611,0.409,0.06591 
same,0,0.002,0.00027 
different,0.09611,0.412,0.06673 
same,0,0.003,0.00082 
different,0.09611,0.413,0.06702 
same,0,0.002,0.00028 
different,0.09611,0.415,0.06726 
same,0,0.002,0.00025 
different,0.09611,0.415,0.06757 
same,0,0.001,0.00030 
different,0.09611,0.417,0.06782 
same,0,0.001,0.00025 
different,0.09611,0.418,0.06812 
same,0,0.001,0.00030 
different,0.09611,0.419,0.06833 
same,0,0.001,0.00021 
different,0.09611,0.421,0.06933 
same,0,0.002,0.00099 
different,0.09611,0.423,0.06961 
same,0,0.001,0.00028 
different,0.09611,0.424,0.06998 
same,0,0.001,0.00037 
different,0.95633,0.425,0.07013 
same,0.13978,0.001,0.00014 
different,0.95633,0.427,0.07034 
same,0,0.001,0.00021 
different,0.95633,0.428,0.07059 
same,0,0.001,0.00025 
different,0.81299,0.429,0.07094 
same,0.14334,0.001,0.00036 
different,0.81299,0.43,0.07135 
same,0,0.001,0.00041 
different,0.81299,0.431,0.07199 
same,0,0.001,0.00064 
different,0.81299,0.432,0.07229 
same,0,0.002,0.00030 
different,0.81299,0.433,0.07267 
same,0,0.001,0.00037 
different,0.81299,0.434,0.07348 
same,0,0.001,0.00082 
different,0.81299,0.435,0.07407 
same,0,0.001,0.00059 
different,0.81299,0.435,0.07432 
same,0,0,0.00025 
different,0.81299,0.436,0.07455 
same,0,0.001,0.00023 
different,0.96376,0.437,0.07482 
same,0.15077,0.001,0.00027 
different,0.08369,0.472,0.08892 
same,0.11993,0.035,0.01411 
different,0.08369,0.473,0.08926 
same,0,0.001,0.00034 
different,0.08369,0.474,0.08962 
same,0,0.001,0.00036 
different,0.08369,0.474,0.08986 
same,0,0.001,0.00025 
different,0.08369,0.476,0.09013 
same,0,0.002,0.00027 
different,0.08369,0.477,0.09038 
same,0,0.001,0.00025 
different,0.08369,0.48,0.09109 
same,0,0.002,0.00071 
different,0.08369,0.481,0.09137 
same,0,0.001,0.00028 
different,0.08369,0.482,0.09166 
same,0,0.001,0.00028 
different,0.08369,0.483,0.09194 
same,0,0.001,0.00028 
different,0.08369,0.485,0.09217 
same,0,0.001,0.00023 
different,0.08369,0.488,0.09287 
same,0,0.003,0.00069 
different,0.08369,0.49,0.09315 
same,0,0.002,0.00028 
different,0.91276,0.492,0.09349 
same,0.17093,0.002,0.00034 
different,0.91276,0.493,0.09388 
same,0,0.002,0.00039 
different,0.91276,0.495,0.09411 
same,0,0.002,0.00023 
different,0.91276,0.497,0.09443 
same,0,0.002,0.00032 
different,0.91276,0.499,0.09470 
same,0,0.002,0.00027 
different,0.91276,0.502,0.09583 
same,0,0.003,0.00114 
