classification,orientation,distance,time
same,0.15092,0,0.00027 
same,0,0.001,0.00003 
same,0,0,0.00003 
same,0,0.001,0.00008 
same,0.7618,0.083,0.00843 
same,0,0,0.00023 
same,0.1528,0.002,0.00021 
same,0,0.003,0.00023 
same,0,0.009,0.00045 
same,0.18055,0.006,0.00021 
same,0.22758,0.014,0.00044 
same,0.15585,0.011,0.00023 
same,0,0.012,0.00023 
same,0.14276,0.027,0.00047 
same,0.20623,0.015,0.00020 
same,0,0.015,0.00023 
same,0.24313,0.015,0.00021 
same,0,0.014,0.00023 
same,0,0.014,0.00023 
same,0,0.014,0.00023 
same,0.18118,0.014,0.00021 
same,0,0.014,0.00023 
same,0,0.013,0.00023 
same,0,0.013,0.00021 
same,0,0.023,0.00045 
same,0.20192,0.011,0.00021 
same,0,0.02,0.00045 
same,0,0.01,0.00021 
same,0.16059,0.009,0.00023 
same,0,0.017,0.00044 
same,0.14033,0.017,0.00047 
same,0,0.009,0.00021 
same,0.20998,0.018,0.00044 
same,0.14784,0.029,0.00067 
same,0,0.01,0.00023 
same,0,0.01,0.00021 
same,0,0.009,0.00023 
same,0,0.01,0.00023 
same,0,0.01,0.00021 
same,0,0.01,0.00023 
same,0,0.01,0.00023 
same,0,0.02,0.00045 
same,0,0.01,0.00021 
same,0,0.02,0.00044 
same,0.1401,0.017,0.00044 
same,0.15383,0.02,0.00071 
same,0,0.006,0.00019 
same,0,0.007,0.00023 
same,0,0.015,0.00051 
same,0.24457,0.01,0.00019 
same,0.20205,0.01,0.00020 
same,0.18977,0.011,0.00021 
same,0.16294,0.013,0.00023 
same,0.15353,0.013,0.00021 
same,0.24495,0.028,0.00045 
same,0,0.015,0.00021 
different,0.16843,0.254,0.14181 
different,0.16843,0.254,0.14203 
same,0,0.001,0.00023 
different,0.16843,0.255,0.14226 
same,0,0.002,0.00023 
different,0.16843,0.256,0.14269 
same,0,0.004,0.00043 
different,0.16843,0.258,0.14291 
same,0,0.003,0.00023 
different,0.16843,0.259,0.14314 
same,0,0.002,0.00023 
different,0.16843,0.262,0.14335 
same,0,0.005,0.00021 
different,0.38175,0.269,0.14381 
same,0.21332,0.012,0.00045 
different,0.38175,0.274,0.14403 
same,0,0.007,0.00023 
different,0.38175,0.279,0.14426 
same,0,0.007,0.00023 
different,0.38175,0.29,0.14470 
same,0,0.015,0.00044 
different,0.38175,0.295,0.14493 
same,0,0.007,0.00023 
different,0.38175,0.3,0.14515 
same,0,0.007,0.00023 
different,0.38175,0.309,0.14559 
same,0,0.011,0.00044 
different,0.38175,0.313,0.14581 
same,0,0.004,0.00021 
different,0.38175,0.319,0.14626 
same,0,0.008,0.00045 
different,0.38175,0.321,0.14647 
same,0,0.003,0.00021 
different,0.38175,0.326,0.14691 
same,0,0.005,0.00044 
different,0.38175,0.329,0.14737 
same,0,0.004,0.00045 
different,0.38175,0.332,0.14781 
same,0,0.003,0.00044 
different,0.38175,0.333,0.14803 
same,0,0.001,0.00023 
different,0.19718,0.334,0.14825 
same,0.18457,0.001,0.00021 
different,0.19718,0.336,0.14870 
same,0,0.003,0.00045 
different,0.19718,0.338,0.14891 
same,0,0.002,0.00021 
different,0.19718,0.342,0.14937 
same,0,0.005,0.00045 
different,0.34122,0.347,0.14981 
same,0.14404,0.006,0.00044 
different,0.51072,0.354,0.15026 
same,0.1695,0.008,0.00045 
different,0.51072,0.357,0.15047 
same,0,0.004,0.00021 
different,0.51072,0.364,0.15093 
same,0,0.008,0.00045 
different,0.51072,0.367,0.15114 
same,0,0.004,0.00021 
different,0.51072,0.374,0.15159 
same,0,0.008,0.00045 
different,0.51072,0.377,0.15182 
same,0,0.004,0.00023 
different,0.51072,0.384,0.15227 
same,0,0.008,0.00045 
different,0.51072,0.387,0.15247 
same,0,0.004,0.00020 
different,0.51072,0.391,0.15270 
same,0,0.004,0.00023 
different,0.51072,0.399,0.15314 
same,0,0.009,0.00044 
different,0.51072,0.408,0.15359 
same,0,0.008,0.00045 
different,0.51072,0.415,0.15403 
same,0,0.008,0.00044 
different,0.51072,0.418,0.15426 
same,0,0.003,0.00023 
different,0.51072,0.421,0.15449 
same,0,0.003,0.00023 
different,0.51072,0.424,0.15470 
same,0,0.003,0.00021 
different,0.51072,0.427,0.15493 
same,0,0.003,0.00023 
different,0.51072,0.429,0.15515 
same,0,0.002,0.00023 
different,0.51072,0.431,0.15537 
same,0,0.002,0.00021 
different,0.51072,0.433,0.15559 
same,0,0.002,0.00023 
different,0.51072,0.434,0.15581 
same,0,0.002,0.00021 
different,0.36094,0.437,0.15627 
same,0.14978,0.003,0.00047 
different,0.36094,0.438,0.15647 
same,0,0.001,0.00020 
