classification,orientation,distance,time
same,0,0.043,0.00283 
same,0,0,0.00007 
same,0,0.001,0.00007 
same,0,0.001,0.00008 
same,0,0.001,0.00007 
same,0,0.001,0.00007 
same,0,0,0.00007 
same,0,0.001,0.00022 
same,0,0.001,0.00023 
same,0,0.001,0.00007 
same,0,0.001,0.00029 
same,0,0.001,0.00008 
same,0,0.001,0.00007 
same,0,0.001,0.00007 
same,0,0.002,0.00007 
same,0,0.002,0.00007 
different,0.85172,0.162,0.03857 
different,0.85724,0.707,0.05814 
same,0.00552,0.548,0.01957 
different,0.85724,0.707,0.05821 
same,0,0,0.00007 
different,0.85724,0.707,0.05841 
same,0,0,0.00020 
different,0.85724,0.707,0.05848 
same,0,0,0.00007 
different,0.26233,0.648,0.06593 
same,0.59491,0.059,0.00745 
different,0.26233,0.648,0.06599 
same,0,0,0.00006 
different,0.26233,0.648,0.06600 
same,0,0,0.00001 
different,0.26233,0.648,0.06606 
same,0,0,0.00006 
different,0.26233,0.648,0.06608 
same,0,0,0.00001 
different,0.26233,0.648,0.06614 
same,0,0,0.00006 
different,0.26233,0.648,0.06615 
same,0,0,0.00001 
different,0.31989,0.697,0.07018 
same,0.05756,0.049,0.00403 
different,0.31989,0.697,0.07035 
same,0,0.001,0.00017 
different,0.50239,0.278,0.07553 
same,0.8175,0.42,0.00519 
different,0.02668,0.179,0.08530 
same,0.47571,0.114,0.00977 
different,0.02668,0.179,0.08535 
same,0,0,0.00005 
different,0.02668,0.179,0.08536 
same,0,0,0.00001 
different,0.02668,0.179,0.08544 
same,0,0,0.00008 
different,0.02668,0.179,0.08545 
same,0,0,0.00001 
different,0.02668,0.179,0.08551 
same,0,0.001,0.00006 
different,0.02668,0.179,0.08556 
same,0,0,0.00005 
different,0.02668,0.179,0.08560 
same,0,0,0.00004 
different,0.02668,0.179,0.08560 
same,0,0,0.00000 
different,0.02668,0.179,0.08567 
same,0,0,0.00007 
different,0.02668,0.179,0.08568 
same,0,0,0.00001 
different,0.02668,0.179,0.08574 
same,0,0,0.00007 
different,0.02668,0.179,0.08575 
same,0,0,0.00001 
different,0.02668,0.179,0.08582 
same,0,0,0.00007 
different,0.02668,0.179,0.08583 
same,0,0,0.00001 
different,0.02668,0.179,0.08588 
same,0,0.001,0.00006 
different,0.02668,0.179,0.08590 
same,0,0,0.00001 
different,0.02668,0.179,0.08600 
same,0,0,0.00011 
different,0.02668,0.179,0.08603 
same,0,0.001,0.00003 
different,0.02668,0.179,0.08604 
same,0,0,0.00001 
different,0.02668,0.179,0.08611 
same,0,0,0.00007 
different,0.02668,0.179,0.08612 
same,0,0,0.00001 
different,0.02668,0.179,0.08617 
same,0,0.001,0.00005 
different,0.02668,0.179,0.08619 
same,0,0,0.00001 
different,0.02668,0.179,0.08625 
same,0,0,0.00007 
different,0.02668,0.179,0.08626 
same,0,0,0.00000 
different,0.02668,0.178,0.08632 
same,0,0.001,0.00006 
different,0.02668,0.178,0.08633 
same,0,0,0.00001 
different,0.16753,0.178,0.08647 
same,0.14085,0,0.00015 
different,0.16753,0.177,0.08649 
same,0,0.001,0.00002 
different,0.16753,0.177,0.08651 
same,0,0,0.00002 
different,0.16753,0.177,0.08656 
same,0,0,0.00004 
different,0.16753,0.177,0.08656 
same,0,0,0.00000 
different,0.16753,0.176,0.08663 
same,0,0.001,0.00007 
different,0.16753,0.176,0.08663 
same,0,0,0.00001 
different,0.16753,0.176,0.08673 
same,0,0,0.00009 
different,0.16753,0.176,0.08674 
same,0,0,0.00001 
different,0.11952,0.217,0.09930 
same,0.04801,0.041,0.01257 
different,0.11952,0.217,0.09939 
same,0,0,0.00008 
different,0.11952,0.217,0.09940 
same,0,0,0.00001 
different,0.11952,0.217,0.09968 
same,0,0,0.00029 
different,0.11952,0.217,0.09983 
same,0,0.001,0.00015 
different,0.11952,0.217,0.09990 
same,0,0,0.00007 
different,0.11952,0.217,0.09991 
same,0,0,0.00001 
different,0.11952,0.217,0.10003 
same,0,0,0.00012 
different,0.11952,0.217,0.10009 
same,0,0,0.00006 
different,0.11952,0.217,0.10010 
same,0,0,0.00001 
different,0.11952,0.217,0.10016 
same,0,0,0.00006 
different,0.11952,0.217,0.10019 
same,0,0,0.00003 
different,0.11952,0.217,0.10022 
same,0,0,0.00003 
different,0.11952,0.217,0.10024 
same,0,0,0.00002 
different,0.11952,0.217,0.10029 
same,0,0,0.00005 
different,0.11952,0.217,0.10030 
same,0,0,0.00001 
different,0.26152,0.217,0.10034 
same,0.142,0.001,0.00004 
different,0.26152,0.217,0.10040 
same,0,0,0.00006 
different,0.26152,0.217,0.10042 
same,0,0,0.00001 
different,0.26152,0.217,0.10043 
same,0,0,0.00001 
different,0.26152,0.217,0.10047 
same,0,0,0.00005 
different,0.26152,0.217,0.10049 
same,0,0,0.00001 
different,0.26152,0.217,0.10056 
same,0,0,0.00007 
different,0.26152,0.217,0.10057 
same,0,0,0.00001 
different,0.26152,0.216,0.10063 
same,0,0.001,0.00007 
different,0.26152,0.216,0.10064 
same,0,0,0.00000 
different,0.26152,0.216,0.10076 
same,0,0,0.00012 
different,0.26152,0.216,0.10081 
same,0,0,0.00005 
different,0.26152,0.216,0.10086 
same,0,0,0.00005 
different,0.26152,0.216,0.10092 
same,0,0,0.00007 
different,0.26152,0.216,0.10093 
same,0,0,0.00000 
different,0.26152,0.216,0.10100 
same,0,0.001,0.00007 
different,0.26152,0.216,0.10101 
same,0,0,0.00001 
different,0.26152,0.216,0.10106 
same,0,0,0.00004 
different,0.26152,0.216,0.10107 
same,0,0,0.00001 
different,0.26152,0.216,0.10112 
same,0,0,0.00006 
different,0.26152,0.217,0.10120 
same,0,0.001,0.00007 
different,0.26152,0.217,0.10127 
same,0,0,0.00007 
different,0.02668,0.219,0.12983 
same,0.23484,0.022,0.02856 
different,0.02668,0.219,0.12986 
same,0,0,0.00003 
different,0.02668,0.219,0.12991 
same,0,0,0.00004 
different,0.02668,0.219,0.12992 
same,0,0,0.00001 
different,0.02668,0.219,0.12996 
same,0,0,0.00004 
different,0.02668,0.219,0.12996 
same,0,0,0.00001 
different,0.02668,0.219,0.13003 
same,0,0,0.00006 
different,0.02668,0.219,0.13004 
same,0,0,0.00001 
different,0.02668,0.219,0.13011 
same,0,0,0.00007 
different,0.02668,0.219,0.13011 
same,0,0,0.00000 
different,0.02668,0.219,0.13018 
same,0,0,0.00006 
different,0.02668,0.219,0.13018 
same,0,0,0.00001 
different,0.17457,0.218,0.13031 
same,0.14789,0.001,0.00013 
different,0.17457,0.218,0.13033 
same,0,0,0.00001 
different,0.17457,0.218,0.13034 
same,0,0,0.00001 
different,0.17457,0.218,0.13040 
same,0,0,0.00006 
different,0.17457,0.218,0.13040 
same,0,0,0.00001 
different,0.17457,0.218,0.13047 
same,0,0,0.00007 
different,0.17457,0.218,0.13048 
same,0,0,0.00001 
different,0.17457,0.217,0.13054 
same,0,0.001,0.00006 
different,0.17457,0.217,0.13055 
same,0,0,0.00001 
different,0.32229,0.217,0.13062 
same,0.14772,0,0.00006 
different,0.32229,0.217,0.13063 
same,0,0,0.00001 
different,0.32229,0.217,0.13069 
same,0,0,0.00006 
different,0.32229,0.217,0.13076 
same,0,0,0.00007 
different,0.32229,0.217,0.13077 
same,0,0,0.00001 
different,0.32229,0.217,0.13077 
same,0,0,0.00001 
different,0.32229,0.217,0.13086 
same,0,0.001,0.00008 
different,0.32229,0.217,0.13086 
same,0,0,0.00000 
different,0.32229,0.217,0.13093 
same,0,0,0.00007 
different,0.32229,0.217,0.13094 
same,0,0,0.00001 
different,0.32229,0.217,0.13100 
same,0,0,0.00007 
different,0.32229,0.217,0.13101 
same,0,0,0.00001 
different,0.32229,0.217,0.13109 
same,0,0,0.00007 
different,0.32229,0.217,0.13110 
same,0,0,0.00001 
different,0.44037,0.263,0.51715 
same,0.11808,0.19,0.38605 
different,0.23009,0.263,0.51722 
same,0.21028,0,0.00007 
different,0.23009,0.263,0.51730 
same,0,0,0.00007 
different,0.23009,0.263,0.51738 
same,0,0,0.00008 
different,0.79206,0.699,0.53748 
same,0.56197,0.502,0.02011 
different,0.39338,0.671,0.54467 
same,0.39868,0.028,0.00719 
different,0.39338,0.671,0.54473 
same,0,0,0.00007 
different,0.39338,0.671,0.54481 
same,0,0,0.00008 
different,0.39338,0.671,0.54488 
same,0,0,0.00007 
different,0.68464,0.647,0.55065 
same,0.29126,0.024,0.00577 
different,0.51834,0.647,0.55072 
same,0.1663,0.001,0.00007 
different,0.75483,0.624,0.55845 
same,0.23649,0.024,0.00774 
different,0.75483,0.624,0.55852 
same,0,0,0.00007 
different,0.75483,0.624,0.55861 
same,0,0,0.00008 
different,0.96747,0.517,0.88813 
different,0.78736,0.207,0.32952 
different,0.96747,0.515,0.88821 
different,0.78736,0.207,0.32960 
same,0,0.002,0.00007 
different,0.96747,0.512,0.88828 
different,0.78736,0.209,0.32967 
same,0,0.003,0.00007 
different,0.96747,0.51,0.88835 
different,0.78736,0.212,0.32974 
same,0,0.003,0.00007 
different,0.96747,0.509,0.88848 
different,0.78736,0.215,0.32987 
same,0,0.003,0.00013 
different,0.96747,0.506,0.88850 
different,0.78736,0.217,0.32989 
same,0,0.003,0.00002 
different,0.96747,0.506,0.88851 
different,0.78736,0.217,0.32991 
same,0,0,0.00001 
different,0.96747,0.506,0.88853 
different,0.78736,0.217,0.32992 
same,0,0,0.00001 
different,0.96747,0.506,0.88854 
different,0.78736,0.217,0.32993 
same,0,0,0.00001 
different,0.96747,0.506,0.88855 
different,0.78736,0.217,0.32994 
same,0,0,0.00001 
different,0.96747,0.503,0.88864 
different,0.78736,0.219,0.33003 
same,0,0.003,0.00009 
different,0.96747,0.503,0.88865 
different,0.78736,0.219,0.33004 
same,0,0,0.00001 
different,0.96747,0.503,0.88867 
different,0.78736,0.219,0.33006 
same,0,0,0.00002 
different,0.96747,0.503,0.88868 
different,0.78736,0.219,0.33007 
same,0,0,0.00001 
different,0.96747,0.503,0.88874 
different,0.78736,0.219,0.33013 
same,0,0,0.00006 
different,0.96747,0.5,0.88883 
different,0.78736,0.221,0.33022 
same,0,0.003,0.00009 
different,0.96747,0.5,0.88884 
different,0.78736,0.221,0.33023 
same,0,0,0.00001 
different,0.96747,0.5,0.88885 
different,0.78736,0.221,0.33024 
same,0,0,0.00001 
different,0.96747,0.5,0.88887 
different,0.78736,0.221,0.33026 
same,0,0,0.00002 
different,0.96747,0.5,0.88887 
different,0.78736,0.221,0.33027 
same,0,0,0.00001 
