classification,orientation,distance,time
same,0,0.002,0.00011 
same,0.22146,0.002,0.00015 
same,0,0.002,0.00014 
same,0,0.002,0.00015 
same,0,0.002,0.00014 
same,0,0.002,0.00016 
same,0,0.003,0.00014 
same,0,0.003,0.00014 
same,0,0.005,0.00015 
same,0,0.005,0.00018 
same,0,0.005,0.00012 
same,0,0.01,0.00031 
same,0,0.004,0.00016 
same,0,0.004,0.00013 
same,0,0.004,0.00013 
same,0.27404,0.115,0.03023 
same,0.1583,0,0.00043 
different,0.81612,0.184,0.37910 
different,0.81612,0.184,0.37924 
same,0,0.001,0.00014 
different,0.81612,0.183,0.37939 
same,0,0.001,0.00015 
different,0.81612,0.183,0.37968 
same,0,0.005,0.00029 
different,0.99893,0.183,0.37984 
same,0.18281,0.003,0.00016 
different,0.99893,0.183,0.37998 
same,0,0.003,0.00014 
different,0.99893,0.183,0.38016 
same,0,0.004,0.00018 
different,0.2529,0.182,0.38027 
same,0.25397,0.006,0.00011 
different,0.41352,0.182,0.38042 
same,0.16062,0.008,0.00015 
different,0.58578,0.182,0.38056 
same,0.17226,0.008,0.00015 
different,0.58578,0.183,0.38070 
same,0,0.009,0.00014 
different,0.85339,0.184,0.38085 
same,0.26761,0.01,0.00015 
different,0.85339,0.185,0.38100 
same,0,0.01,0.00015 
different,0.06646,0.187,0.38115 
same,0.21307,0.011,0.00015 
different,0.06646,0.19,0.38129 
same,0,0.011,0.00014 
different,0.26816,0.193,0.38144 
same,0.20169,0.011,0.00015 
different,0.26816,0.197,0.38158 
same,0,0.011,0.00014 
different,0.26816,0.204,0.38188 
same,0,0.022,0.00030 
different,0.26816,0.208,0.38202 
same,0,0.011,0.00014 
different,0.26816,0.213,0.38217 
same,0,0.01,0.00016 
different,0.26816,0.216,0.38231 
same,0,0.01,0.00014 
different,0.08359,0.22,0.38246 
same,0.18457,0.01,0.00015 
different,0.08359,0.224,0.38260 
same,0,0.009,0.00014 
different,0.08359,0.228,0.38275 
same,0,0.009,0.00015 
different,0.91965,0.232,0.38289 
same,0.16393,0.009,0.00014 
different,0.91965,0.236,0.38304 
same,0,0.008,0.00015 
different,0.91965,0.24,0.38319 
same,0,0.008,0.00015 
different,0.91965,0.244,0.38334 
same,0,0.009,0.00015 
different,0.91965,0.248,0.38348 
same,0,0.009,0.00014 
different,0.91965,0.253,0.38363 
same,0,0.009,0.00015 
different,0.91965,0.263,0.38392 
same,0,0.017,0.00029 
different,0.91965,0.268,0.38406 
same,0,0.008,0.00015 
different,0.91965,0.274,0.38422 
same,0,0.008,0.00016 
different,0.91965,0.279,0.38435 
same,0,0.009,0.00013 
different,0.91965,0.285,0.38450 
same,0,0.008,0.00015 
different,0.91965,0.29,0.38465 
same,0,0.008,0.00015 
different,0.91965,0.296,0.38480 
same,0,0.008,0.00015 
different,0.91965,0.302,0.38494 
same,0,0.008,0.00014 
different,0.91965,0.308,0.38509 
same,0,0.008,0.00015 
different,0.91965,0.314,0.38523 
same,0,0.008,0.00014 
different,0.91965,0.32,0.38538 
same,0,0.008,0.00015 
different,0.91965,0.325,0.38553 
same,0,0.008,0.00015 
different,0.91965,0.331,0.38567 
same,0,0.008,0.00014 
different,0.91965,0.342,0.38596 
same,0,0.015,0.00030 
different,0.91965,0.347,0.38610 
same,0,0.007,0.00014 
different,0.91965,0.352,0.38627 
same,0,0.007,0.00017 
different,0.91965,0.357,0.38640 
same,0,0.007,0.00013 
different,0.91965,0.361,0.38655 
same,0,0.007,0.00015 
different,0.91965,0.365,0.38669 
same,0,0.007,0.00014 
different,0.91965,0.369,0.38685 
