classification,orientation,distance,time,predicted
same,0,0,0.00002,same
different,0.4296,0.202,0.49958,different
different,0.26697,0.515,0.04559,different
different,0.52861,0.615,0.03376,different
same,0,0,0.00002,same
different,0.4296,0.202,0.49962,different
different,0.26697,0.515,0.04564,different
different,0.52861,0.615,0.0338,different
same,0,0,0.00004,same
different,0.4296,0.202,0.49963,different
different,0.26697,0.515,0.04564,different
different,0.52861,0.615,0.03381,different
same,0,0,0.00001,same
different,0.4296,0.202,0.49965,different
different,0.26697,0.515,0.04566,different
different,0.52861,0.615,0.03383,different
same,0,0,0.00002,same
different,0.4296,0.202,0.49967,different
different,0.26697,0.515,0.04569,different
different,0.52861,0.615,0.03386,different
same,0,0,0.00003,same
different,0.4296,0.202,0.4997,different
different,0.26697,0.515,0.04571,different
different,0.52861,0.615,0.03388,different
same,0,0,0.00003,same
different,0.4296,0.202,0.49971,different
different,0.26697,0.515,0.04572,different
different,0.52861,0.615,0.03389,different
same,0,0,0.00001,same
different,0.4296,0.202,0.49972,different
different,0.26697,0.515,0.04574,different
different,0.52861,0.615,0.03391,different
same,0,0,0.00002,same
different,0.4296,0.202,0.49976,different
different,0.26697,0.515,0.04578,different
different,0.52861,0.615,0.03394,different
same,0,0,0.00004,same
different,0.4296,0.202,0.49978,different
different,0.26697,0.515,0.04579,different
different,0.52861,0.615,0.03396,different
same,0,0,0.00002,same
different,0.4296,0.202,0.49982,different
different,0.26697,0.515,0.04584,different
different,0.52861,0.615,0.03401,different
same,0,0,0.00004,same
different,0.4296,0.202,0.49984,different
different,0.26697,0.515,0.04585,different
different,0.52861,0.615,0.03402,different
same,0,0,0.00002,same
different,0.4296,0.202,0.49994,different
different,0.26697,0.515,0.04596,different
different,0.52861,0.615,0.03413,different
same,0,0,0.00011,same
different,0.4296,0.202,0.49997,different
different,0.26697,0.515,0.04599,different
different,0.52861,0.615,0.03415,different
same,0,0,0.00003,same
different,0.4296,0.202,0.49999,different
different,0.26697,0.515,0.046,different
different,0.52861,0.615,0.03417,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50001,different
different,0.26697,0.515,0.04603,different
different,0.52861,0.615,0.0342,different
same,0,0,0.00003,same
different,0.4296,0.202,0.50003,different
different,0.26697,0.515,0.04605,different
different,0.52861,0.615,0.03422,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50005,different
different,0.26697,0.515,0.04606,different
different,0.52861,0.615,0.03423,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50007,different
different,0.26697,0.515,0.04608,different
different,0.52861,0.615,0.03425,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50008,different
different,0.26697,0.515,0.0461,different
different,0.52861,0.615,0.03427,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50011,different
different,0.26697,0.515,0.04613,different
different,0.52861,0.615,0.03429,different
same,0,0,0.00003,same
different,0.4296,0.202,0.50013,different
different,0.26697,0.515,0.04614,different
different,0.52861,0.615,0.03431,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50014,different
different,0.26697,0.515,0.04616,different
different,0.52861,0.615,0.03433,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50016,different
different,0.26697,0.515,0.04618,different
different,0.52861,0.615,0.03435,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50019,different
different,0.26697,0.515,0.0462,different
different,0.52861,0.615,0.03437,different
same,0,0,0.00003,same
different,0.4296,0.202,0.50026,different
different,0.26697,0.515,0.04627,different
different,0.52861,0.615,0.03444,different
same,0,0,0.00007,same
different,0.4296,0.202,0.50037,different
different,0.26697,0.515,0.04639,different
different,0.52861,0.615,0.03456,different
same,0,0,0.00011,same
different,0.4296,0.202,0.50039,different
different,0.26697,0.515,0.04641,different
different,0.52861,0.615,0.03457,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50041,different
different,0.26697,0.515,0.04642,different
different,0.52861,0.615,0.03459,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50043,different
different,0.26697,0.515,0.04645,different
different,0.52861,0.615,0.03462,different
same,0,0,0.00003,same
different,0.4296,0.202,0.50045,different
different,0.26697,0.515,0.04647,different
different,0.52861,0.615,0.03464,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50049,different
different,0.26697,0.515,0.0465,different
different,0.52861,0.615,0.03467,different
same,0,0,0.00004,same
different,0.4296,0.202,0.50049,different
different,0.26697,0.515,0.04651,different
different,0.52861,0.615,0.03468,different
same,0,0,0.00001,same
different,0.4296,0.202,0.50052,different
different,0.26697,0.515,0.04654,different
different,0.52861,0.615,0.03471,different
same,0,0,0.00003,same
different,0.4296,0.202,0.50054,different
different,0.26697,0.515,0.04655,different
different,0.52861,0.615,0.03472,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50056,different
different,0.26697,0.515,0.04657,different
different,0.52861,0.615,0.03474,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50057,different
different,0.26697,0.515,0.04659,different
different,0.52861,0.615,0.03476,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50059,different
different,0.26697,0.515,0.04661,different
different,0.52861,0.615,0.03478,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50063,different
different,0.26697,0.515,0.04664,different
different,0.52861,0.615,0.03481,different
same,0,0,0.00004,same
different,0.4296,0.202,0.50064,different
different,0.26697,0.515,0.04666,different
different,0.52861,0.615,0.03483,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50079,different
different,0.26697,0.515,0.04681,different
different,0.52861,0.615,0.03498,different
same,0,0,0.00015,same
different,0.4296,0.202,0.50081,different
different,0.26697,0.515,0.04683,different
different,0.52861,0.615,0.03499,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50083,different
different,0.26697,0.515,0.04684,different
different,0.52861,0.615,0.03501,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50085,different
different,0.26697,0.515,0.04687,different
different,0.52861,0.615,0.03504,different
same,0,0,0.00003,same
different,0.4296,0.202,0.50087,different
different,0.26697,0.515,0.04689,different
different,0.52861,0.615,0.03506,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50089,different
different,0.26697,0.515,0.0469,different
different,0.52861,0.615,0.03507,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50092,different
different,0.26697,0.515,0.04694,different
different,0.52861,0.615,0.03511,different
same,0,0,0.00004,same
different,0.4296,0.202,0.50094,different
different,0.26697,0.515,0.04696,different
different,0.52861,0.615,0.03513,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50096,different
different,0.26697,0.515,0.04697,different
different,0.52861,0.615,0.03514,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50098,different
different,0.26697,0.515,0.04699,different
different,0.52861,0.615,0.03516,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50099,different
different,0.26697,0.515,0.04701,different
different,0.52861,0.615,0.03518,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50101,different
different,0.26697,0.515,0.04703,different
different,0.52861,0.615,0.0352,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50103,different
different,0.26697,0.515,0.04704,different
different,0.52861,0.615,0.03521,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50106,different
different,0.26697,0.515,0.04708,different
different,0.52861,0.615,0.03525,different
same,0,0,0.00004,same
different,0.4296,0.202,0.50116,different
different,0.26697,0.515,0.04718,different
different,0.52861,0.615,0.03534,different
same,0,0,0.0001,same
different,0.4296,0.202,0.50126,different
different,0.26697,0.515,0.04727,different
different,0.52861,0.615,0.03544,different
same,0,0,0.0001,same
different,0.4296,0.202,0.50128,different
different,0.26697,0.515,0.0473,different
different,0.52861,0.615,0.03547,different
same,0,0,0.00003,same
different,0.4296,0.202,0.5013,different
different,0.26697,0.515,0.04732,different
different,0.52861,0.615,0.03548,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50132,different
different,0.26697,0.515,0.04733,different
different,0.52861,0.615,0.0355,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50133,different
different,0.26697,0.515,0.04735,different
different,0.52861,0.615,0.03552,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50137,different
different,0.26697,0.515,0.04739,different
different,0.52861,0.615,0.03555,different
same,0,0,0.00004,same
different,0.4296,0.202,0.50139,different
different,0.26697,0.515,0.0474,different
different,0.52861,0.615,0.03557,different
same,0,0,0.00002,same
different,0.4296,0.202,0.5014,different
different,0.26697,0.515,0.04741,different
different,0.52861,0.615,0.03558,different
same,0,0,0.00001,same
different,0.4296,0.202,0.50142,different
different,0.26697,0.515,0.04744,different
different,0.52861,0.615,0.03561,different
same,0,0,0.00003,same
different,0.4296,0.202,0.50144,different
different,0.26697,0.515,0.04746,different
different,0.52861,0.615,0.03562,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50146,different
different,0.26697,0.515,0.04747,different
different,0.52861,0.614,0.03564,different
same,0,0.001,0.00002,same
different,0.4296,0.201,0.50147,different
different,0.26697,0.515,0.04749,different
different,0.52861,0.614,0.03566,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50159,different
different,0.26697,0.515,0.0476,different
different,0.52861,0.614,0.03577,different
same,0,0,0.00011,same
different,0.4296,0.201,0.50161,different
different,0.26697,0.515,0.04762,different
different,0.52861,0.614,0.03579,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50162,different
different,0.26697,0.515,0.04764,different
different,0.52861,0.614,0.03581,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50165,different
different,0.26697,0.515,0.04767,different
different,0.52861,0.614,0.03583,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50168,different
different,0.26697,0.515,0.04769,different
different,0.52861,0.614,0.03586,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50169,different
different,0.26697,0.515,0.04771,different
different,0.52861,0.614,0.03588,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50172,different
different,0.26697,0.515,0.04774,different
different,0.52861,0.614,0.0359,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50174,different
different,0.26697,0.515,0.04775,different
different,0.52861,0.614,0.03592,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50175,different
different,0.26697,0.515,0.04777,different
different,0.52861,0.614,0.03594,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50177,different
different,0.26697,0.515,0.04779,different
different,0.52861,0.614,0.03596,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50179,different
different,0.26697,0.515,0.04781,different
different,0.52861,0.614,0.03597,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50187,different
different,0.26697,0.515,0.04788,different
different,0.52861,0.614,0.03605,different
same,0,0,0.00008,same
different,0.4296,0.201,0.50189,different
different,0.26697,0.515,0.0479,different
different,0.52861,0.614,0.03607,different
same,0,0,0.00002,same
different,0.4296,0.201,0.5019,different
different,0.26697,0.515,0.04792,different
different,0.52861,0.614,0.03609,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50193,different
different,0.26697,0.515,0.04795,different
different,0.52861,0.614,0.03611,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50211,different
different,0.26697,0.515,0.04813,different
different,0.52861,0.614,0.0363,different
same,0,0,0.00018,same
different,0.4296,0.201,0.50213,different
different,0.26697,0.515,0.04815,different
different,0.52861,0.614,0.03632,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50215,different
different,0.26697,0.515,0.04816,different
different,0.52861,0.614,0.03633,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50217,different
different,0.26697,0.515,0.04819,different
different,0.52861,0.614,0.03636,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50219,different
different,0.26697,0.515,0.04821,different
different,0.52861,0.614,0.03638,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50223,different
different,0.26697,0.515,0.04824,different
different,0.52861,0.614,0.03641,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50224,different
different,0.26697,0.515,0.04826,different
different,0.52861,0.614,0.03643,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50226,different
different,0.26697,0.515,0.04828,different
different,0.52861,0.614,0.03645,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50231,different
different,0.26697,0.515,0.04832,different
different,0.52861,0.614,0.03649,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50231,different
different,0.26697,0.515,0.04833,different
different,0.52861,0.614,0.0365,different
same,0,0,0.00001,same
different,0.4296,0.201,0.50233,different
different,0.26697,0.515,0.04835,different
different,0.52861,0.614,0.03652,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50237,different
different,0.26697,0.515,0.04838,different
different,0.52861,0.614,0.03655,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50245,different
different,0.26697,0.515,0.04846,different
different,0.52861,0.614,0.03663,different
same,0,0,0.00008,same
different,0.4296,0.201,0.50246,different
different,0.26697,0.515,0.04848,different
different,0.52861,0.614,0.03665,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50258,different
different,0.26697,0.515,0.04859,different
different,0.52861,0.614,0.03676,different
same,0,0,0.00011,same
different,0.4296,0.201,0.50261,different
different,0.26697,0.515,0.04863,different
different,0.52861,0.614,0.0368,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50263,different
different,0.26697,0.514,0.04865,different
different,0.52861,0.614,0.03681,different
same,0,0.001,0.00002,same
different,0.4296,0.201,0.50266,different
different,0.26697,0.514,0.04868,different
different,0.52861,0.614,0.03685,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50268,different
different,0.26697,0.514,0.0487,different
different,0.52861,0.614,0.03687,different
same,0,0,0.00002,same
different,0.4296,0.201,0.5027,different
different,0.26697,0.514,0.04872,different
different,0.52861,0.614,0.03688,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50271,different
different,0.26697,0.514,0.04872,different
different,0.52861,0.614,0.03689,different
same,0,0,0.00001,same
different,0.4296,0.201,0.50274,different
different,0.26697,0.514,0.04876,different
different,0.52861,0.614,0.03693,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50276,different
different,0.26697,0.514,0.04878,different
different,0.52861,0.614,0.03695,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50278,different
different,0.26697,0.514,0.04879,different
different,0.52861,0.614,0.03696,different
same,0,0,0.00002,same
different,0.4296,0.201,0.5028,different
different,0.26697,0.514,0.04881,different
different,0.52861,0.614,0.03698,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50282,different
different,0.26697,0.514,0.04884,different
different,0.52861,0.614,0.03701,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50289,different
different,0.26697,0.514,0.04891,different
different,0.52861,0.614,0.03708,different
same,0,0,0.00007,same
different,0.4296,0.201,0.5029,different
different,0.26697,0.514,0.04892,different
different,0.52861,0.614,0.03709,different
same,0,0,0.00001,same
different,0.4296,0.201,0.50302,different
different,0.26697,0.514,0.04904,different
different,0.52861,0.614,0.03721,different
same,0,0,0.00012,same
different,0.4296,0.201,0.50305,different
different,0.26697,0.514,0.04907,different
different,0.52861,0.614,0.03723,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50307,different
different,0.26697,0.514,0.04908,different
different,0.52861,0.614,0.03725,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50309,different
different,0.26697,0.514,0.04911,different
different,0.52861,0.614,0.03728,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50311,different
different,0.26697,0.514,0.04913,different
different,0.52861,0.614,0.0373,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50313,different
different,0.26697,0.514,0.04914,different
different,0.52861,0.614,0.03731,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50317,different
different,0.26697,0.514,0.04919,different
different,0.52861,0.614,0.03736,different
same,0,0,0.00004,same
different,0.4296,0.201,0.5032,different
different,0.26697,0.514,0.04921,different
different,0.52861,0.614,0.03738,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50321,different
different,0.26697,0.514,0.04922,different
different,0.52861,0.614,0.03739,different
same,0,0,0.00001,same
different,0.4296,0.201,0.50324,different
different,0.26697,0.514,0.04926,different
different,0.52861,0.614,0.03743,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50332,different
different,0.26697,0.514,0.04934,different
different,0.52861,0.614,0.03751,different
same,0,0,0.00008,same
different,0.4296,0.201,0.50334,different
different,0.26697,0.514,0.04935,different
different,0.52861,0.614,0.03752,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50336,different
different,0.26697,0.514,0.04937,different
different,0.52861,0.614,0.03754,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50338,different
different,0.26697,0.514,0.0494,different
different,0.52861,0.614,0.03757,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50355,different
different,0.26697,0.514,0.04956,different
different,0.52861,0.614,0.03773,different
same,0,0,0.00017,same
different,0.4296,0.201,0.50357,different
different,0.26697,0.514,0.04958,different
different,0.52861,0.614,0.03775,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50358,different
different,0.26697,0.514,0.0496,different
different,0.52861,0.614,0.03777,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50362,different
different,0.26697,0.514,0.04963,different
different,0.52861,0.614,0.0378,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50363,different
different,0.26697,0.514,0.04964,different
different,0.52861,0.614,0.03781,different
same,0,0,0.00001,same
different,0.4296,0.201,0.50364,different
different,0.26697,0.514,0.04966,different
different,0.52861,0.614,0.03783,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50367,different
different,0.26697,0.514,0.04969,different
different,0.52861,0.614,0.03786,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50369,different
different,0.26697,0.514,0.0497,different
different,0.52861,0.614,0.03787,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50376,different
different,0.26697,0.514,0.04977,different
different,0.52861,0.614,0.03794,different
same,0,0,0.00007,same
different,0.4296,0.201,0.50378,different
different,0.26697,0.514,0.04979,different
different,0.52861,0.614,0.03796,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50379,different
different,0.26697,0.514,0.04981,different
different,0.52861,0.614,0.03798,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50387,different
different,0.26697,0.514,0.04989,different
different,0.52861,0.614,0.03806,different
same,0,0,0.00008,same
different,0.4296,0.201,0.50391,different
different,0.26697,0.514,0.04992,different
different,0.52861,0.614,0.03809,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50401,different
different,0.26697,0.514,0.05003,different
different,0.52861,0.614,0.0382,different
same,0,0,0.00011,same
different,0.4296,0.201,0.50403,different
different,0.26697,0.514,0.05005,different
different,0.52861,0.614,0.03821,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50406,different
different,0.26697,0.514,0.05007,different
different,0.52861,0.614,0.03824,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50406,different
different,0.26697,0.514,0.05008,different
different,0.52861,0.614,0.03825,different
same,0,0,0.00001,same
different,0.4296,0.201,0.5041,different
different,0.26697,0.514,0.05012,different
different,0.52861,0.614,0.03828,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50413,different
different,0.26697,0.514,0.05014,different
different,0.52861,0.614,0.03831,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50414,different
different,0.26697,0.514,0.05016,different
different,0.52861,0.614,0.03833,different
same,0,0,0.00002,same
different,0.4296,0.201,0.5042,different
different,0.26697,0.514,0.05022,different
different,0.52861,0.614,0.03839,different
same,0,0,0.00006,same
different,0.4296,0.201,0.50421,different
different,0.26697,0.514,0.05023,different
different,0.52861,0.614,0.0384,different
same,0,0,0.00001,same
different,0.4296,0.201,0.50423,different
different,0.26697,0.514,0.05025,different
different,0.52861,0.614,0.03842,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50425,different
different,0.26697,0.514,0.05026,different
different,0.52861,0.614,0.03843,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50435,different
different,0.26697,0.514,0.05037,different
different,0.52861,0.614,0.03854,different
same,0,0,0.00011,same
different,0.4296,0.201,0.50437,different
different,0.26697,0.514,0.05039,different
different,0.52861,0.614,0.03856,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50438,different
different,0.26697,0.514,0.0504,different
different,0.52861,0.614,0.03856,different
same,0,0,0.00001,same
different,0.4296,0.201,0.50449,different
different,0.26697,0.514,0.05051,different
different,0.52861,0.614,0.03868,different
same,0,0,0.00011,same
different,0.4296,0.201,0.50458,different
different,0.26697,0.514,0.0506,different
different,0.52861,0.614,0.03877,different
same,0,0,0.00009,same
different,0.4296,0.201,0.5046,different
different,0.26697,0.514,0.05061,different
different,0.52861,0.614,0.03878,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50462,different
different,0.26697,0.514,0.05063,different
different,0.52861,0.614,0.0388,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50465,different
different,0.26697,0.514,0.05067,different
different,0.52861,0.614,0.03884,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50467,different
different,0.26697,0.514,0.05068,different
different,0.52861,0.614,0.03885,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50469,different
different,0.26697,0.514,0.0507,different
different,0.52861,0.614,0.03887,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50478,different
different,0.26697,0.514,0.0508,different
different,0.52861,0.614,0.03897,different
same,0,0,0.0001,same
different,0.4296,0.201,0.50481,different
different,0.26697,0.514,0.05082,different
different,0.52861,0.614,0.03899,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50483,different
different,0.26697,0.514,0.05084,different
different,0.52861,0.614,0.03901,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50485,different
different,0.26697,0.514,0.05087,different
different,0.52861,0.614,0.03904,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50493,different
different,0.26697,0.514,0.05095,different
different,0.52861,0.614,0.03912,different
same,0,0,0.00008,same
different,0.4296,0.201,0.50496,different
different,0.26697,0.514,0.05097,different
different,0.52861,0.614,0.03914,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50497,different
different,0.26697,0.514,0.05099,different
different,0.52861,0.614,0.03916,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50507,different
different,0.26697,0.514,0.05109,different
different,0.52861,0.614,0.03926,different
same,0,0,0.0001,same
different,0.4296,0.201,0.50518,different
different,0.26697,0.514,0.0512,different
different,0.52861,0.614,0.03937,different
same,0,0,0.00011,same
different,0.4296,0.201,0.5052,different
different,0.26697,0.514,0.05122,different
different,0.52861,0.614,0.03939,different
same,0,0,0.00002,same
different,0.4296,0.201,0.50522,different
different,0.26697,0.515,0.05124,different
different,0.52861,0.614,0.0394,different
same,0,0.001,0.00002,same
different,0.4296,0.201,0.50525,different
different,0.26697,0.515,0.05127,different
different,0.52861,0.614,0.03944,different
same,0,0,0.00004,same
different,0.4296,0.201,0.50528,different
different,0.26697,0.515,0.0513,different
different,0.52861,0.614,0.03947,different
same,0,0,0.00003,same
different,0.4296,0.201,0.50537,different
different,0.26697,0.515,0.05138,different
different,0.52861,0.614,0.03955,different
same,0,0,0.00009,same
different,0.4296,0.201,0.50539,different
different,0.26697,0.515,0.0514,different
different,0.52861,0.614,0.03957,different
same,0,0,0.00002,same
different,0.4296,0.201,0.5054,different
different,0.26697,0.515,0.05142,different
different,0.52861,0.614,0.03959,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50551,different
different,0.26697,0.516,0.05152,different
different,0.52861,0.615,0.03969,different
same,0,0.001,0.00011,same
different,0.4296,0.202,0.50553,different
different,0.26697,0.516,0.05154,different
different,0.52861,0.615,0.03971,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50554,different
different,0.26697,0.516,0.05156,different
different,0.52861,0.615,0.03973,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50567,different
different,0.26697,0.517,0.05168,different
different,0.52861,0.616,0.03985,different
same,0,0.001,0.00012,same
different,0.4296,0.202,0.50568,different
different,0.26697,0.517,0.0517,different
different,0.52861,0.616,0.03987,different
same,0,0,0.00002,same
different,0.4296,0.202,0.50569,different
different,0.26697,0.517,0.05171,different
different,0.52861,0.616,0.03988,different
same,0,0,0.00001,same
different,0.4296,0.203,0.50589,different
different,0.26697,0.518,0.05191,different
different,0.52861,0.617,0.04008,different
same,0,0.001,0.0002,same
different,0.4296,0.203,0.50591,different
different,0.26697,0.518,0.05193,different
different,0.52861,0.617,0.0401,different
same,0,0,0.00002,same
different,0.4296,0.204,0.50595,different
different,0.26697,0.521,0.05196,different
different,0.52861,0.619,0.04013,different
same,0,0.002,0.00004,same
different,0.4296,0.206,0.5061,different
different,0.26697,0.523,0.05212,different
different,0.52861,0.621,0.04029,different
same,0,0.003,0.00016,same
different,0.4296,0.207,0.50624,different
different,0.26697,0.527,0.05226,different
different,0.52861,0.624,0.04043,different
same,0,0.004,0.00014,same
different,0.4296,0.21,0.50639,different
different,0.26697,0.532,0.05241,different
different,0.52861,0.628,0.04058,different
same,0,0.005,0.00015,same
different,0.4296,0.213,0.50653,different
different,0.26697,0.538,0.05255,different
different,0.52861,0.632,0.04072,different
same,0,0.006,0.00014,same
different,0.4296,0.215,0.50668,different
different,0.26697,0.544,0.0527,different
different,0.52861,0.636,0.04087,different
same,0,0.007,0.00015,same
different,0.4296,0.219,0.50682,different
different,0.26697,0.551,0.05284,different
different,0.52861,0.641,0.04101,different
same,0,0.007,0.00014,same
different,0.4296,0.223,0.50697,different
different,0.26697,0.558,0.05299,different
different,0.52861,0.647,0.04116,different
same,0,0.008,0.00015,same
different,0.4296,0.227,0.50712,different
different,0.26697,0.566,0.05313,different
different,0.52861,0.653,0.0413,different
same,0,0.008,0.00015,same
different,0.4296,0.231,0.50727,different
different,0.26697,0.575,0.05328,different
different,0.52861,0.659,0.04145,different
same,0,0.008,0.00015,same
different,0.4296,0.236,0.50741,different
different,0.26697,0.583,0.05342,different
different,0.52861,0.665,0.04159,different
same,0,0.009,0.00014,same
different,0.27733,0.241,0.50756,different
different,0.11471,0.591,0.05357,different
different,0.37634,0.671,0.04174,different
same,0.15226,0.008,0.00015,same
different,0.27733,0.251,0.50785,different
different,0.11471,0.606,0.05386,different
different,0.37634,0.683,0.04203,different
same,0,0.016,0.00029,same
different,0.27733,0.256,0.50799,different
different,0.11471,0.613,0.05401,different
different,0.37634,0.688,0.04218,different
same,0,0.007,0.00015,same
different,0.27733,0.261,0.50815,different
different,0.11471,0.62,0.05417,different
different,0.37634,0.694,0.04234,different
same,0,0.007,0.00016,same
different,0.27733,0.265,0.50828,different
different,0.11471,0.627,0.0543,different
different,0.37634,0.699,0.04247,different
same,0,0.007,0.00013,same
different,0.27733,0.269,0.50843,different
different,0.11471,0.633,0.05445,different
different,0.37634,0.703,0.04262,different
same,0,0.006,0.00015,same
different,0.27733,0.274,0.50858,different
different,0.11471,0.639,0.0546,different
different,0.37634,0.708,0.04277,different
same,0,0.006,0.00015,same
different,0.27733,0.278,0.50873,different
different,0.11471,0.645,0.05475,different
different,0.37634,0.713,0.04291,different
same,0,0.006,0.00015,same
different,0.27733,0.282,0.50887,different
different,0.11471,0.65,0.05489,different
different,0.37634,0.717,0.04305,different
same,0,0.006,0.00014,same
different,0.27733,0.286,0.50902,different
different,0.11471,0.655,0.05503,different
different,0.37634,0.721,0.0432,different
same,0,0.005,0.00015,same
different,0.27733,0.29,0.50917,different
different,0.11471,0.66,0.05518,different
different,0.37634,0.725,0.04335,different
same,0,0.005,0.00015,same
different,0.27733,0.293,0.50931,different
different,0.11471,0.665,0.05532,different
different,0.37634,0.729,0.04349,different
same,0,0.005,0.00014,same
different,0.27733,0.297,0.50946,different
different,0.11471,0.67,0.05547,different
different,0.37634,0.733,0.04364,different
same,0,0.005,0.00015,same
different,0.27733,0.301,0.5096,different
different,0.11471,0.675,0.05561,different
different,0.37634,0.737,0.04378,different
same,0,0.005,0.00014,same
different,0.27733,0.309,0.50989,different
different,0.11471,0.685,0.05591,different
