classification,orientation,distance,time,predicted
same,0,0,0.00004,same
different,0.4773,0.222,0.39096,different
different,0.44131,0.306,0.00013,different
different,0.4773,0.222,0.39098,different
different,0.44131,0.306,0.00015,different
same,0,0,0.00002,same
different,0.4773,0.22,0.39107,different
different,0.44131,0.307,0.00025,different
same,0,0.002,0.0001,same
different,0.4773,0.22,0.39109,different
different,0.44131,0.307,0.00026,different
same,0,0,0.00002,same
different,0.32317,0.217,0.39121,different
different,0.59544,0.308,0.00039,different
same,0.15413,0.003,0.00012,same
different,0.32317,0.217,0.39123,different
different,0.59544,0.308,0.0004,different
same,0,0,0.00002,same
different,0.32317,0.214,0.39136,different
different,0.59544,0.31,0.00053,different
same,0,0.003,0.00013,same
different,0.32317,0.214,0.39138,different
different,0.59544,0.31,0.00055,different
same,0,0,0.00002,same
different,0.32317,0.212,0.39151,different
different,0.59544,0.311,0.00068,different
same,0,0.003,0.00013,same
different,0.32317,0.212,0.3916,different
different,0.59544,0.311,0.00077,different
same,0,0,0.00009,same
different,0.32317,0.209,0.39166,different
different,0.59544,0.313,0.00083,different
same,0,0.003,0.00006,same
different,0.32317,0.209,0.39167,different
different,0.59544,0.313,0.00084,different
same,0,0,0.00001,same
different,0.32317,0.206,0.39181,different
different,0.59544,0.314,0.00098,different
same,0,0.003,0.00014,same
different,0.32317,0.206,0.39183,different
different,0.59544,0.314,0.001,different
same,0,0,0.00002,same
different,0.32317,0.203,0.39195,different
different,0.59544,0.316,0.00112,different
same,0,0.003,0.00012,same
different,0.32317,0.203,0.39197,different
different,0.59544,0.316,0.00114,different
same,0,0,0.00002,same
different,0.32317,0.201,0.39212,different
different,0.59544,0.318,0.0013,different
same,0,0.003,0.00016,same
different,0.32317,0.201,0.39213,different
different,0.59544,0.318,0.0013,different
same,0,0,0.00001,same
different,0.32317,0.198,0.39226,different
different,0.59544,0.319,0.00143,different
same,0,0.003,0.00012,same
different,0.32317,0.198,0.39227,different
different,0.59544,0.319,0.00144,different
same,0,0,0.00002,same
different,0.47957,0.196,0.3924,different
different,0.43904,0.321,0.00157,different
same,0.1564,0.002,0.00012,same
different,0.47957,0.196,0.39241,different
different,0.43904,0.321,0.00158,different
same,0,0,0.00002,same
different,0.47957,0.194,0.39254,different
different,0.43904,0.322,0.00171,different
same,0,0.003,0.00012,same
different,0.47957,0.194,0.39263,different
different,0.43904,0.322,0.0018,different
same,0,0,0.0001,same
different,0.47957,0.192,0.39269,different
different,0.43904,0.324,0.00186,different
same,0,0.002,0.00006,same
different,0.47957,0.192,0.39271,different
different,0.43904,0.324,0.00188,different
same,0,0,0.00002,same
different,0.47957,0.19,0.39284,different
different,0.43904,0.325,0.00201,different
same,0,0.002,0.00013,same
different,0.47957,0.19,0.39286,different
different,0.43904,0.325,0.00203,different
same,0,0,0.00002,same
different,0.47957,0.188,0.39297,different
different,0.43904,0.327,0.00214,different
same,0,0.002,0.00011,same
different,0.47957,0.188,0.39299,different
different,0.43904,0.327,0.00216,different
same,0,0,0.00002,same
